policy,candidate_id,seed,contention_level,freshness_window,delta,A0,deadline_and_stale_count,deadline_miss_count,deadline_success_rate,divergence,dronet_deadline_success_rate,dronet_deadline_success_rate_vs_ref,dronet_max_lateness_ms,dronet_max_lateness_ms_vs_ref,dronet_n_invocations,dronet_reference_window_ms,epoch_comparable,epoch_ms,fits_in_epoch,freshness_success_rate,makespan_ms,max_input_age,max_input_age_at_start,n_with_age,no_producer_count,no_producer_rate,output_valid_rate,p50_input_age,p50_input_age_at_start,p95_input_age,p95_input_age_at_start,p99_input_age,pipeline_fill_ms,soft_instances_admitted,soft_instances_completed,soft_instances_offered,soft_instances_released,solver_wall_s,stale_input_count,stale_input_rate,steady_no_producer_rate,steady_output_valid_rate,steady_stale_input_rate,steady_total_consumer_invocations,structurally_unservable_count,total_consumer_invocations,valid_count
static_nominal,static_nominal,0,0,80.546074,20.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.06666666666666667,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,17.973077999999997,0,0,0,0,6.17339301109314,0,0.0,0.0,1.0,0.0,28,2,30,28
static_nominal,static_nominal,1,0,80.546074,20.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.06666666666666667,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,17.973077999999997,0,0,0,0,6.216423273086548,0,0.0,0.0,1.0,0.0,28,2,30,28
static_nominal,static_nominal,2,0,80.546074,20.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.06666666666666667,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,17.973077999999997,0,0,0,0,6.217559814453125,0,0.0,0.0,1.0,0.0,28,2,30,28
static_nominal,static_nominal,3,0,80.546074,20.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.06666666666666667,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,17.973077999999997,0,0,0,0,6.2530505657196045,0,0.0,0.0,1.0,0.0,28,2,30,28
static_nominal,static_nominal,4,0,80.546074,20.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.06666666666666667,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,17.973077999999997,0,0,0,0,6.350939512252808,0,0.0,0.0,1.0,0.0,28,2,30,28
static_nominal,static_nominal,0,1,80.546074,20.0,60.546074,0,0,1.0,0.3666666666666667,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,True,300.0,True,0.6333333333333333,290.5460739999999,100.54607400000002,100.0,21,9,0.3,0.6333333333333333,40.546074000000004,40.0,90.54607400000002,90.0,98.54607400000003,17.973077999999997,1,1,1,1,12.746033430099487,2,0.06666666666666667,0.25,0.6785714285714286,0.07142857142857142,28,2,30,19
static_nominal,static_nominal,1,1,80.546074,20.0,60.546074,0,0,1.0,0.3666666666666667,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,True,300.0,True,0.6333333333333333,290.5460739999999,100.54607400000002,100.0,21,9,0.3,0.6333333333333333,40.546074000000004,40.0,90.54607400000002,90.0,98.54607400000003,17.973077999999997,1,1,1,1,13.006163120269775,2,0.06666666666666667,0.25,0.6785714285714286,0.07142857142857142,28,2,30,19
static_nominal,static_nominal,2,1,80.546074,20.0,60.546074,0,0,1.0,0.3666666666666667,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,True,300.0,True,0.6333333333333333,290.5460739999999,100.54607400000002,100.0,21,9,0.3,0.6333333333333333,40.546074000000004,40.0,90.54607400000002,90.0,98.54607400000003,17.973077999999997,1,1,1,1,13.146631717681885,2,0.06666666666666667,0.25,0.6785714285714286,0.07142857142857142,28,2,30,19
static_nominal,static_nominal,3,1,80.546074,20.0,60.546074,0,0,1.0,0.3666666666666667,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,True,300.0,True,0.6333333333333333,290.5460739999999,100.54607400000002,100.0,21,9,0.3,0.6333333333333333,40.546074000000004,40.0,90.54607400000002,90.0,98.54607400000003,17.973077999999997,1,1,1,1,12.887036561965942,2,0.06666666666666667,0.25,0.6785714285714286,0.07142857142857142,28,2,30,19
static_nominal,static_nominal,4,1,80.546074,20.0,60.546074,0,0,1.0,0.3666666666666667,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,True,300.0,True,0.6333333333333333,290.5460739999999,100.54607400000002,100.0,21,9,0.3,0.6333333333333333,40.546074000000004,40.0,90.54607400000002,90.0,98.54607400000003,17.973077999999997,1,1,1,1,13.560732126235962,2,0.06666666666666667,0.25,0.6785714285714286,0.07142857142857142,28,2,30,19
