policy,candidate_id,seed,contention_level,freshness_window,delta,A0,deadline_and_stale_count,deadline_miss_count,deadline_success_rate,divergence,dronet_deadline_success_rate,dronet_deadline_success_rate_vs_ref,dronet_max_lateness_ms,dronet_max_lateness_ms_vs_ref,dronet_n_invocations,dronet_reference_window_ms,epoch_ms,fits_in_epoch,freshness_success_rate,makespan_ms,max_input_age,max_input_age_at_start,n_with_age,no_producer_count,output_valid_rate,p50_input_age,p50_input_age_at_start,p95_input_age,p95_input_age_at_start,p99_input_age,soft_instances_admitted,soft_instances_completed,soft_instances_offered,soft_instances_released,solver_wall_s,stale_input_count,total_consumer_invocations,valid_count
probe_defer50,probe_defer50,0,0,65.546074,5.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,7.534220457077026,0,30,28
probe_defer50,probe_defer50,0,0,70.546074,10.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,7.534220457077026,0,30,28
probe_defer50,probe_defer50,0,0,80.546074,20.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,7.534220457077026,0,30,28
probe_defer50,probe_defer50,0,0,90.546074,30.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,7.534220457077026,0,30,28
probe_defer50,probe_defer50,0,0,110.546074,50.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,7.534220457077026,0,30,28
probe_defer50,probe_defer50,0,1,65.546074,5.0,60.546074,0,0,1.0,0.4,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,300.0,True,0.6,290.5460739999999,130.546074,130.0,28,2,0.6,55.54607399999996,55.0,117.046074,116.49999999999999,127.84607400000002,1,1,1,1,15.606694221496582,10,30,18
probe_defer50,probe_defer50,0,1,70.546074,10.0,60.546074,0,0,1.0,0.3666666666666667,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,300.0,True,0.6333333333333333,290.5460739999999,130.546074,130.0,28,2,0.6333333333333333,55.54607399999996,55.0,117.046074,116.49999999999999,127.84607400000002,1,1,1,1,15.606694221496582,9,30,19
probe_defer50,probe_defer50,0,1,80.546074,20.0,60.546074,0,0,1.0,0.33333333333333337,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,300.0,True,0.6666666666666666,290.5460739999999,130.546074,130.0,28,2,0.6666666666666666,55.54607399999996,55.0,117.046074,116.49999999999999,127.84607400000002,1,1,1,1,15.606694221496582,8,30,20
probe_defer50,probe_defer50,0,1,90.546074,30.0,60.546074,0,0,1.0,0.2666666666666667,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,300.0,True,0.7333333333333333,290.5460739999999,130.546074,130.0,28,2,0.7333333333333333,55.54607399999996,55.0,117.046074,116.49999999999999,127.84607400000002,1,1,1,1,15.606694221496582,6,30,22
probe_defer50,probe_defer50,0,1,110.546074,50.0,60.546074,0,0,1.0,0.16666666666666663,0.6666666666666666,0.6666666666666666,37.174683000000016,37.174683000000016,6,50.0,300.0,True,0.8333333333333334,290.5460739999999,130.546074,130.0,28,2,0.8333333333333334,55.54607399999996,55.0,117.046074,116.49999999999999,127.84607400000002,1,1,1,1,15.606694221496582,3,30,25
probe_defer50,probe_defer50,0,2,65.546074,5.0,60.546074,0,0,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.3333333333333333,457.1746829999999,130.546074,130.0,43,2,0.3333333333333333,80.546074,80.0,129.54607399999992,129.0,130.54607399999998,2,2,2,3,140.28519773483276,28,45,15
probe_defer50,probe_defer50,0,2,70.546074,10.0,60.546074,0,0,1.0,0.5777777777777777,0.3333333333333333,0.3333333333333333,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.4222222222222222,457.1746829999999,130.546074,130.0,43,2,0.4222222222222222,80.546074,80.0,129.54607399999992,129.0,130.54607399999998,2,2,2,3,140.28519773483276,24,45,19
probe_defer50,probe_defer50,0,2,80.546074,20.0,60.546074,0,0,1.0,0.5111111111111111,0.3333333333333333,0.3333333333333333,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.4888888888888889,457.1746829999999,130.546074,130.0,43,2,0.4888888888888889,80.546074,80.0,129.54607399999992,129.0,130.54607399999998,2,2,2,3,140.28519773483276,21,45,22
probe_defer50,probe_defer50,0,2,90.546074,30.0,60.546074,0,0,1.0,0.4222222222222223,0.3333333333333333,0.3333333333333333,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.5777777777777777,457.1746829999999,130.546074,130.0,43,2,0.5777777777777777,80.546074,80.0,129.54607399999992,129.0,130.54607399999998,2,2,2,3,140.28519773483276,17,45,26
probe_defer50,probe_defer50,0,2,110.546074,50.0,60.546074,0,0,1.0,0.19999999999999996,0.3333333333333333,0.3333333333333333,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.8,457.1746829999999,130.546074,130.0,43,2,0.8,80.546074,80.0,129.54607399999992,129.0,130.54607399999998,2,2,2,3,140.28519773483276,7,45,36
probe_defer50,probe_defer50,0,3,65.546074,5.0,60.546074,0,0,1.0,0.8269230769230769,0.09090909090909091,0.09090909090909091,37.174683000000016,37.174683000000016,11,50.0,300.0,False,0.17307692307692307,612.4083269999992,130.546074,130.0,50,2,0.17307692307692307,90.75511299999982,90.0,130.54607399999992,130.0,130.546074,3,2,3,6,289.63501262664795,41,52,9
