workload,sigma_pct,seed,scheduler,n_ops,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error
vision_pipeline,10.0,3,heft,14,True,True,515.1454403646528,0,0.0,8,401.5150976069367,0.000321298954077065,
vision_pipeline,10.0,3,edf,14,True,True,1130.212117412117,1,530.2121174121171,5,1130.212117412117,0.0002749409759417176,
vision_pipeline,10.0,3,fastest_device,14,True,True,484.0900045609582,0,0.0,7,375.49204408431814,0.0001984459813684225,
vision_pipeline,10.0,3,cpsat,14,True,False,460.3553676640635,0,0.0,7,380.52911751430605,0.24265876493882388,
vision_pipeline,10.0,3,gnn_placement,14,True,True,515.1454403646528,0,0.0,8,401.5150976069367,0.016983287991024554,
vision_pipeline,10.0,3,simulated_annealing,14,True,True,467.60880387863745,0,0.0,7,380.63595257931894,0.029811360989697278,
vision_pipeline,10.0,3,peft,14,True,True,460.56797217418347,0,0.0,9,380.52911751430605,0.0005617940332740545,
vision_pipeline,10.0,4,heft,14,True,True,500.76333811274594,0,0.0,7,397.25751778922967,0.0003496930003166199,
vision_pipeline,10.0,4,edf,14,True,True,1156.257579271708,1,556.257579271708,6,1156.257579271708,0.00033889198675751686,
vision_pipeline,10.0,4,fastest_device,14,True,True,498.14769714301326,0,0.0,7,386.9878367220625,0.00020614091772586107,
vision_pipeline,10.0,4,cpsat,14,True,False,474.5620192656635,0,0.0,7,386.9878367220625,0.1993224109755829,
vision_pipeline,10.0,4,gnn_placement,14,True,True,500.76333811274594,0,0.0,7,397.25751778922967,0.009921774035319686,
vision_pipeline,10.0,4,simulated_annealing,14,True,True,473.64174231562805,0,0.0,7,386.9878367220625,0.024717506021261215,
vision_pipeline,10.0,4,peft,14,True,True,500.76333811274594,0,0.0,7,397.25751778922967,0.0005439709639176726,
vision_pipeline,25.0,0,heft,14,True,True,421.8355901091528,0,0.0,9,349.6789989930395,0.00037684408016502857,
vision_pipeline,25.0,0,edf,14,True,True,1223.0016564698617,1,623.0016564698617,5,1223.0016564698617,0.0002904499415308237,
vision_pipeline,25.0,0,fastest_device,14,True,True,454.90289981859087,0,0.0,7,344.99183053489514,0.00021514797117561102,
vision_pipeline,25.0,0,cpsat,14,True,False,417.39450776798014,0,0.0,6,358.7325309743527,0.22418416000436991,
vision_pipeline,25.0,0,gnn_placement,14,True,True,421.8355901091528,0,0.0,9,349.6789989930395,0.0017601558938622475,
vision_pipeline,25.0,0,simulated_annealing,14,True,True,418.7325309743527,0,0.0,8,358.7325309743527,0.021639662911184132,
vision_pipeline,25.0,0,peft,14,True,True,437.31119755312466,0,0.0,8,367.6315430253271,0.0003810829948633909,
vision_pipeline,25.0,1,heft,14,True,True,501.9024560010954,0,0.0,8,432.54645843773784,0.0002663549967110157,
vision_pipeline,25.0,1,edf,14,True,True,1191.017302630024,1,591.017302630024,6,1191.017302630024,0.0002721060300245881,
vision_pipeline,25.0,1,fastest_device,14,True,True,535.0619496338824,0,0.0,7,422.9884366480659,0.0002011909382417798,
vision_pipeline,25.0,1,cpsat,14,True,False,497.9222228147528,0,0.0,7,432.54645843773784,0.22300474508665502,
vision_pipeline,25.0,1,gnn_placement,14,True,True,501.9024560010954,0,0.0,8,432.54645843773784,0.002173839951865375,
vision_pipeline,25.0,1,simulated_annealing,14,True,True,501.9024560010954,0,0.0,8,432.54645843773784,0.020458535058423877,
vision_pipeline,25.0,1,peft,14,True,True,501.9024560010954,0,0.0,8,432.54645843773784,0.0004849899560213089,
vision_pipeline,25.0,2,heft,14,True,True,534.4607824227725,0,0.0,7,474.4607824227724,0.00035430199932307005,
vision_pipeline,25.0,2,edf,14,True,True,1046.5550848859966,1,446.5550848859966,5,1046.5550848859966,0.00039631209801882505,
vision_pipeline,25.0,2,fastest_device,14,True,True,487.7431858824522,0,0.0,8,407.311252010488,0.00022081902716308832,
vision_pipeline,25.0,2,cpsat,14,True,False,487.58577459437214,0,0.0,7,407.311252010488,0.29682469402905554,
vision_pipeline,25.0,2,gnn_placement,14,True,True,534.4607824227725,0,0.0,7,474.4607824227724,0.02553735999390483,
vision_pipeline,25.0,2,simulated_annealing,14,True,True,487.7431858824522,0,0.0,9,407.311252010488,0.021280291955918074,
vision_pipeline,25.0,2,peft,14,True,True,534.4607824227725,0,0.0,7,474.4607824227724,0.0003822649596258998,
vision_pipeline,25.0,3,heft,14,True,True,488.804062041581,0,0.0,7,405.5889231587157,0.0002735179150477052,
vision_pipeline,25.0,3,edf,14,True,True,1306.6356166189787,1,706.6356166189787,6,1306.6356166189787,0.0002728070830926299,
vision_pipeline,25.0,3,fastest_device,14,True,True,484.85678509585296,0,0.0,8,405.5889231587157,0.00020469806622713804,
vision_pipeline,25.0,3,cpsat,14,True,False,486.6207589870687,0,0.0,7,405.5889231587157,0.23749283398501575,
vision_pipeline,25.0,3,gnn_placement,14,True,True,488.804062041581,0,0.0,7,405.5889231587157,0.005610673921182752,
vision_pipeline,25.0,3,simulated_annealing,14,True,True,488.804062041581,0,0.0,7,405.5889231587157,0.02561711089219898,
vision_pipeline,25.0,3,peft,14,True,True,488.804062041581,0,0.0,7,405.5889231587157,0.0003984658978879452,
vision_pipeline,25.0,4,heft,14,True,True,516.0195480600596,0,0.0,7,413.03779048225607,0.00027468090411275625,
vision_pipeline,25.0,4,edf,14,True,True,1227.9180745624942,1,627.9180745624942,5,1227.9180745624942,0.00027567194774746895,
vision_pipeline,25.0,4,fastest_device,14,True,True,516.0195480600596,0,0.0,7,413.03779048225607,0.00023988389875739813,
vision_pipeline,25.0,4,cpsat,14,True,False,495.8283899362266,0,0.0,7,423.9847602554121,0.17100406892132014,
vision_pipeline,25.0,4,gnn_placement,14,True,True,516.0195480600596,0,0.0,7,413.03779048225607,0.0018654849845916033,
vision_pipeline,25.0,4,simulated_annealing,14,True,True,516.0195480600596,0,0.0,7,413.03779048225607,0.020575847011059523,
vision_pipeline,25.0,4,peft,14,True,True,496.6372854146805,0,0.0,9,423.9847602554121,0.0003648620331659913,
vision_pipeline,50.0,0,heft,14,True,True,416.5777833172552,0,0.0,8,337.9498097961475,0.00025761802680790424,
vision_pipeline,50.0,0,edf,14,True,True,898.8119401210595,1,298.8119401210595,6,893.8119401210595,0.0002650120295584202,
vision_pipeline,50.0,0,fastest_device,14,True,True,454.53363643495817,0,0.0,11,325.4473578995805,0.00025481299962848425,
vision_pipeline,50.0,0,cpsat,14,True,False,413.41887669267015,0,0.0,6,352.5385202108989,0.1440813330700621,
vision_pipeline,50.0,0,gnn_placement,14,True,True,416.5777833172552,0,0.0,8,337.9498097961475,0.0057492859195917845,
vision_pipeline,50.0,0,simulated_annealing,14,True,True,412.5385202108989,0,0.0,7,352.5385202108989,0.035641390015371144,
vision_pipeline,50.0,0,peft,14,True,True,416.5777833172552,0,0.0,8,337.9498097961475,0.0006511240499094129,
vision_pipeline,50.0,1,heft,14,True,True,377.31636947313956,0,0.0,7,298.97524371442626,0.0004609740572050214,
vision_pipeline,50.0,1,edf,14,True,True,906.8745676409476,1,306.8745676409476,6,901.8745676409476,0.0004910510033369064,
vision_pipeline,50.0,1,fastest_device,14,True,True,398.10684755690187,0,0.0,8,293.3697460766155,0.000353069044649601,
vision_pipeline,50.0,1,cpsat,14,True,False,375.6907149749294,0,0.0,7,298.97524371442626,0.2003209430258721,
vision_pipeline,50.0,1,gnn_placement,14,True,True,377.31636947313956,0,0.0,7,298.97524371442626,0.0023539819521829486,
vision_pipeline,50.0,1,simulated_annealing,14,True,True,377.31636947313956,0,0.0,7,298.97524371442626,0.029841386945918202,
vision_pipeline,50.0,1,peft,14,True,True,377.31636947313956,0,0.0,7,298.97524371442626,0.0005687979282811284,
vision_pipeline,50.0,2,heft,14,True,True,491.4956402701493,0,0.0,8,396.8311080334153,0.0003772849449887872,
vision_pipeline,50.0,2,edf,14,True,True,1328.6288500922603,1,728.6288500922603,6,1328.6288500922603,0.00038911798037588596,
vision_pipeline,50.0,2,fastest_device,14,True,True,518.673239475452,0,0.0,9,393.6732394754519,0.00028274604119360447,
vision_pipeline,50.0,2,cpsat,14,True,False,467.3849313417891,0,0.0,7,396.8311080334153,0.30971308203879744,
vision_pipeline,50.0,2,gnn_placement,14,True,True,491.4956402701493,0,0.0,8,396.8311080334153,0.0018558569718152285,
vision_pipeline,50.0,2,simulated_annealing,14,True,True,466.8311080334153,0,0.0,8,396.8311080334153,0.026342828059569,
vision_pipeline,50.0,2,peft,14,True,True,491.4956402701493,0,0.0,8,396.8311080334153,0.0005177219863981009,
vision_pipeline,50.0,3,heft,14,True,True,583.5472215070231,0,0.0,8,495.28741189362387,0.00028386793565005064,
vision_pipeline,50.0,3,edf,14,True,True,1358.5671929962887,1,758.5671929962887,6,1358.5671929962887,0.000278657884337008,
vision_pipeline,50.0,3,fastest_device,14,True,True,668.8233656679125,1,68.82336566791253,11,488.82336566791247,0.00031444604974240065,
vision_pipeline,50.0,3,cpsat,14,True,False,571.8718354545722,0,0.0,6,498.82252975840976,0.13900666602421552,
vision_pipeline,50.0,3,gnn_placement,14,True,True,583.5472215070231,0,0.0,8,495.28741189362387,0.0020367199322208762,
vision_pipeline,50.0,3,simulated_annealing,14,True,True,572.1447350582305,0,0.0,7,498.82252975840976,0.02235588093753904,
vision_pipeline,50.0,3,peft,14,True,True,583.5472215070231,0,0.0,8,495.28741189362387,0.0004083740059286356,
vision_pipeline,50.0,4,heft,14,True,True,474.20313068833127,0,0.0,8,409.20313068833127,0.00030224304646253586,
vision_pipeline,50.0,4,edf,14,True,True,1453.886417943101,1,853.8864179431009,5,1453.886417943101,0.0002809020224958658,
vision_pipeline,50.0,4,fastest_device,14,True,True,477.4144644044238,0,0.0,8,401.9724089248805,0.0002145669423043728,
vision_pipeline,50.0,4,cpsat,14,True,False,469.17463482108565,0,0.0,7,409.3488443384882,0.21526189998257905,
vision_pipeline,50.0,4,gnn_placement,14,True,True,474.20313068833127,0,0.0,8,409.20313068833127,0.006792322965338826,
vision_pipeline,50.0,4,simulated_annealing,14,True,True,474.20313068833127,0,0.0,8,409.20313068833127,0.029859633068554103,
vision_pipeline,50.0,4,peft,14,True,True,474.20313068833127,0,0.0,8,409.20313068833127,0.0005575970280915499,
sensor_fusion_diamond,0.0,0,heft,16,True,True,480.0,0,0.0,3,470.0,0.00042840198148041964,
sensor_fusion_diamond,0.0,0,edf,16,True,True,510.0,0,0.0,1,510.0,0.00043993396684527397,
sensor_fusion_diamond,0.0,0,fastest_device,16,True,True,510.0,0,0.0,3,445.0,0.0003198960330337286,
sensor_fusion_diamond,0.0,0,cpsat,16,True,True,475.0,0,0.0,2,465.0,0.06210153899155557,
sensor_fusion_diamond,0.0,0,gnn_placement,16,True,True,480.0,0,0.0,3,470.0,0.0024509041104465723,
sensor_fusion_diamond,0.0,0,simulated_annealing,16,True,True,480.0,0,0.0,3,470.0,0.03246989904437214,
sensor_fusion_diamond,0.0,0,peft,16,True,True,480.0,0,0.0,3,470.0,0.0005711119156330824,
sensor_fusion_diamond,0.0,1,heft,16,True,True,480.0,0,0.0,3,470.0,0.00042180903255939484,
sensor_fusion_diamond,0.0,1,edf,16,True,True,510.0,0,0.0,1,510.0,0.00042888300959020853,
sensor_fusion_diamond,0.0,1,fastest_device,16,True,True,510.0,0,0.0,3,445.0,0.0003084039781242609,
