dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
,_encoding_0_embedded_elf_riscv_64__encoding_0_encode_32x10xf32_to_32x10xf32,/home/dima/sched_vmfb/mlp_scalar/module__encoding_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module__encoding_0_embedded_elf_riscv_64_benchmark.mlir,0.053,ms,53000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module__encoding_0_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_1_embedded_elf_riscv_64__encoding_1_encode_32xf32_to_32xf32,/home/dima/sched_vmfb/mlp_scalar/module__encoding_1_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module__encoding_1_embedded_elf_riscv_64_benchmark.mlir,0.063,ms,63000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module__encoding_1_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_2_embedded_elf_riscv_64__encoding_2_encode_32x32xf32_to_32x32xf32,/home/dima/sched_vmfb/mlp_scalar/module__encoding_2_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module__encoding_2_embedded_elf_riscv_64_benchmark.mlir,0.067,ms,67000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module__encoding_2_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_3_embedded_elf_riscv_64__encoding_3_encode_2x32xf32_to_2x32xf32,/home/dima/sched_vmfb/mlp_scalar/module__encoding_3_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module__encoding_3_embedded_elf_riscv_64_benchmark.mlir,0.065,ms,65000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module__encoding_3_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_4_embedded_elf_riscv_64__encoding_4_encode_2xf32_to_2xf32,/home/dima/sched_vmfb/mlp_scalar/module__encoding_4_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module__encoding_4_embedded_elf_riscv_64_benchmark.mlir,0.062,ms,62000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module__encoding_4_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_5_embedded_elf_riscv_64__encoding_5_encode_10xf32_to_10xf32,/home/dima/sched_vmfb/mlp_scalar/module__encoding_5_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module__encoding_5_embedded_elf_riscv_64_benchmark.mlir,0.059,ms,59000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module__encoding_5_embedded_elf_riscv_64_benchmark.vmfb.log
0,main_graph$async_dispatch_0_embedded_elf_riscv_64_main_graph$async_dispatch_0_matvec_like_32x10_f32,/home/dima/sched_vmfb/mlp_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.mlir,0.064,ms,64000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb.log
1,main_graph$async_dispatch_1_embedded_elf_riscv_64_main_graph$async_dispatch_1_matvec_like_32x32_f32,/home/dima/sched_vmfb/mlp_scalar/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.mlir,0.069,ms,69000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb.log
2,main_graph$async_dispatch_2_embedded_elf_riscv_64_main_graph$async_dispatch_2_matvec_like_2x32_f32,/home/dima/sched_vmfb/mlp_scalar/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mlp_scalar/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.mlir,0.055,ms,55000.000000,0,/home/dima/sched_vmfb/out/mlp_scalar/topo_0/logs/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb.log
