entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,fused_split,0,0,qnn_graph,fused_vision_conv,dsp,6,0,0.000000,0.459000,0.036000,1.668000,1.632000
1,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,1,0.000000,0.014000,0.037000,0.383000,0.346000
2,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,2,0.000000,13.909000,0.016000,13.715000,13.699000
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,3,0.014000,0.107000,0.044000,0.116000,0.072000
4,fused_split,0,2,qnn_graph,fused_tail,cpu,5,1,0.459000,0.354000,1.719000,3.821000,2.102000
5,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,3,3.000000,0.107000,3.898000,3.992000,0.094000
6,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,dsp,6,4,4.464000,13.267000,4.540000,17.516000,12.976000
7,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,3,6.000000,0.107000,6.007000,6.066000,0.059000
8,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,3,9.000000,0.107000,9.004000,9.047000,0.043000
9,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,4,3,12.000000,0.107000,12.009000,12.066000,0.057000
10,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,3,15.000000,0.107000,15.008000,15.052000,0.044000
11,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,5,15.000000,0.931000,15.063000,16.190000,1.127000
12,fused_split,1,1,qnn_graph,fused_depth_conv,hta,7,5,15.931000,1.568000,16.214000,16.883000,0.669000
13,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,hta,7,6,17.499000,13.909000,18.016000,31.542000,13.526000
14,fused_split,1,2,qnn_graph,fused_tail,dsp,6,0,17.731000,4.303000,17.739000,20.808000,3.069000
15,mlp_control,6,0,qnn_graph,mlp_control_full,cpu,4,3,18.000000,0.107000,18.008000,18.052000,0.044000
16,mlp_control,7,0,qnn_graph,mlp_control_full,cpu,4,3,21.000000,0.107000,21.010000,21.111000,0.101000
17,yolov8n_d,0,1,qnn_graph,yolov8n_head,dsp,6,7,22.034000,15.377000,22.103000,45.434000,23.331000
18,mlp_control,8,0,qnn_graph,mlp_control_full,cpu,4,3,25.893000,0.107000,25.900000,25.949000,0.049000
19,mlp_control,9,0,qnn_graph,mlp_control_full,cpu,4,3,28.893000,0.107000,28.897000,28.934000,0.037000
20,mlp_control,10,0,qnn_graph,mlp_control_full,cpu,4,3,30.000000,0.107000,30.007000,30.049000,0.042000
21,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,5,31.408000,0.931000,32.468000,33.444000,0.976000
22,fused_split,2,1,qnn_graph,fused_depth_conv,cpu,5,1,32.325000,0.014000,32.352000,32.560000,0.208000
23,fused_split,2,2,qnn_graph,fused_tail,cpu,5,1,32.339000,0.354000,33.658000,34.304000,0.646000
24,mlp_control,11,0,qnn_graph,mlp_control_full,cpu,4,3,33.000000,0.107000,34.348000,34.402000,0.054000
25,yolov8n_b,0,1,qnn_graph,yolov8n_head,cpu,5,8,33.107000,39.464000,34.586000,83.589000,49.003000
26,mlp_control,12,0,qnn_graph,mlp_control_full,dsp,6,9,37.411000,0.589000,45.551000,46.238000,0.687000
27,mlp_control,13,0,qnn_graph,mlp_control_full,dsp,6,9,39.000000,0.589000,46.253000,46.559000,0.306000
28,mlp_control,14,0,qnn_graph,mlp_control_full,dsp,6,9,42.000000,0.589000,46.891000,47.228000,0.337000
29,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,10,42.589000,15.377000,49.314000,67.031000,17.717000
30,yolov8n_c,0,0,qnn_graph,yolov8n_backbone,hta,7,11,44.057000,13.909000,49.287000,62.932000,13.645000
31,yolov8n_c,0,1,qnn_graph,yolov8n_head,dsp,6,12,57.966000,15.377000,67.169000,82.675000,15.506000
