dispatch_id,module_name,mean_time,mean_unit,mean_time_ns,returncode,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation,name
81,yolov8_nano$dispatch_81_rvv_x60_conv2d_batchnorm2d_silu_s8,2.238375,ms,2238375.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53721,5,1.33,curated[rvv],detect.cv3_0_1.conv
82,yolov8_nano$dispatch_82_rvv_x60_conv2d_s8,0.122167,ms,122166.667,0,k1,conv2d_s8,N=1;IC=64;IH=8;IW=12;OC=2;OH=8;OW=12;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,2932,5,0.30,curated[rvv],detect.cv3_0_2
83,yolov8_nano$dispatch_83_rvv_x60_cat2_c1_s8,0.010125,ms,10125.000,0,k1,cat2_c1_s8,N=1;H=8;W=12;C_inputs=64|2;C_total=66,243,5,7.21,curated[rvv],cat_13
84,yolov8_nano$dispatch_84_rvv_x60_conv2d_batchnorm2d_silu_s8,0.960458,ms,960458.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,23051,5,0.65,curated[rvv],detect.cv2_1_0.conv
85,yolov8_nano$dispatch_85_rvv_x60_conv2d_batchnorm2d_silu_s8,0.556417,ms,556416.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13354,5,0.64,curated[rvv],detect.cv2_1_1.conv
86,yolov8_nano$dispatch_86_rvv_x60_conv2d_s8,0.064583,ms,64583.333,0,k1,conv2d_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1550,5,1.41,curated[rvv],detect.cv2_1_2
87,yolov8_nano$dispatch_87_rvv_x60_conv2d_batchnorm2d_silu_s8,0.950333,ms,950333.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,22808,5,1.47,curated[rvv],detect.cv3_1_0.conv
88,yolov8_nano$dispatch_88_rvv_x60_conv2d_batchnorm2d_silu_s8,0.549625,ms,549625.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13191,5,2.12,curated[rvv],detect.cv3_1_1.conv
89,yolov8_nano$dispatch_89_rvv_x60_conv2d_s8,0.031458,ms,31458.333,0,k1,conv2d_s8,N=1;IC=64;IH=4;IW=6;OC=2;OH=4;OW=6;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,755,5,1.92,curated[rvv],detect.cv3_1_2
90,yolov8_nano$dispatch_90_rvv_x60_cat2_c1_s8,0.005083,ms,5083.333,0,k1,cat2_c1_s8,N=1;H=4;W=6;C_inputs=64|2;C_total=66,122,5,2.88,curated[rvv],cat_14
91,yolov8_nano$dispatch_91_rvv_x60_conv2d_batchnorm2d_silu_s8,0.423917,ms,423916.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=256;IH=2;IW=3;OC=64;OH=2;OW=3;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,10174,5,0.18,curated[rvv],detect.cv2_2_0.conv
92,yolov8_nano$dispatch_92_rvv_x60_conv2d_batchnorm2d_silu_s8,0.148792,ms,148791.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=2;IW=3;OC=64;OH=2;OW=3;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,3571,5,0.29,curated[rvv],detect.cv2_2_1.conv
93,yolov8_nano$dispatch_93_rvv_x60_conv2d_s8,0.018167,ms,18166.667,0,k1,conv2d_s8,N=1;IC=64;IH=2;IW=3;OC=64;OH=2;OW=3;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,436,5,2.69,curated[rvv],detect.cv2_2_2
94,yolov8_nano$dispatch_94_rvv_x60_conv2d_batchnorm2d_silu_s8,0.424000,ms,424000.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=256;IH=2;IW=3;OC=64;OH=2;OW=3;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,10176,5,4.32,curated[rvv],detect.cv3_2_0.conv
95,yolov8_nano$dispatch_95_rvv_x60_conv2d_batchnorm2d_silu_s8,0.149250,ms,149250.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=2;IW=3;OC=64;OH=2;OW=3;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,3582,5,0.44,curated[rvv],detect.cv3_2_1.conv
96,yolov8_nano$dispatch_96_rvv_x60_conv2d_s8,0.008375,ms,8375.000,0,k1,conv2d_s8,N=1;IC=64;IH=2;IW=3;OC=2;OH=2;OW=3;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,201,5,4.88,curated[rvv],detect.cv3_2_2
97,yolov8_nano$dispatch_97_rvv_x60_cat2_c1_s8,0.004292,ms,4291.667,0,k1,cat2_c1_s8,N=1;H=2;W=3;C_inputs=64|2;C_total=66,103,5,1.48,curated[rvv],cat_15
