entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,5,0,0.000000,0.107000,0.040000,0.150000,0.110000
1,yolov8n_c,0,0,qnn_graph,yolov8n_backbone,dsp,6,1,0.000000,13.267000,0.022000,12.737000,12.715000
2,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,hta,7,2,0.000000,13.909000,0.021000,14.118000,14.097000
3,dronet,0,0,qnn_graph,dronet_full,cpu,4,3,0.107000,6.998000,0.118000,8.256000,8.138000
4,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,5,0,7.105000,0.107000,8.298000,8.388000,0.090000
5,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,5,0,10.000000,0.107000,10.005000,10.045000,0.040000
6,dronet,1,0,qnn_graph,dronet_full,dsp,6,4,13.267000,0.645000,13.344000,14.630000,1.286000
7,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,5,13.909000,13.909000,14.590000,26.740000,12.150000
8,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,5,0,15.000000,0.107000,15.011000,16.224000,1.213000
9,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,6,16.012000,15.377000,16.203000,34.588000,18.385000
10,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,5,0,20.788000,0.107000,20.796000,20.899000,0.103000
11,dronet,2,0,qnn_graph,dronet_full,cpu,4,3,20.895000,6.998000,20.909000,27.964000,7.055000
12,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,7,27.818000,13.909000,27.888000,56.900000,29.012000
13,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,5,0,27.893000,0.107000,27.995000,28.051000,0.056000
14,mlp_control,6,0,qnn_graph,mlp_control_full,cpu,5,0,30.000000,0.107000,30.011000,30.063000,0.052000
15,dronet,3,0,qnn_graph,dronet_full,dsp,6,4,31.389000,0.645000,35.009000,36.262000,1.253000
16,yolov8n_c,0,1,qnn_graph,yolov8n_head,dsp,6,1,32.034000,15.377000,36.426000,53.039000,16.613000
17,mlp_control,7,0,qnn_graph,mlp_control_full,cpu,5,0,35.000000,0.107000,35.017000,35.091000,0.074000
18,mlp_control,8,0,qnn_graph,mlp_control_full,cpu,5,0,40.000000,0.107000,40.006000,40.056000,0.050000
19,yolov8n_d,0,1,qnn_graph,yolov8n_head,cpu,5,8,40.107000,39.464000,40.497000,92.025000,51.528000
20,dronet,4,0,qnn_graph,dronet_full,hta,7,9,41.727000,2.030000,73.707000,75.127000,1.420000
21,yolov8n_e,0,0,qnn_graph,yolov8n_backbone,hta,7,10,43.757000,13.909000,59.099000,73.208000,14.109000
22,mlp_control,9,0,qnn_graph,mlp_control_full,dsp,6,11,47.411000,0.589000,53.170000,58.994000,5.824000
23,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,12,48.000000,15.377000,59.242000,77.251000,18.009000
24,yolov8n_e,0,1,qnn_graph,yolov8n_head,dsp,6,13,64.194000,15.377000,77.723000,93.087000,15.364000
