seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,hold_steps,eff_cmd_hz,moment_scale,gates_passed,steps,K,outcome
1000,1.0,0.01,1,10.0,8.0,1,100.0,0.0055,4,1426,4,success
1001,1.0,0.01,1,10.0,8.0,1,100.0,0.0055,4,1405,4,success
1002,1.0,0.01,1,10.0,8.0,1,100.0,0.0055,2,1800,4,timeout
1003,1.0,0.01,1,10.0,8.0,1,100.0,0.0055,4,1480,4,success
1004,1.0,0.01,1,10.0,8.0,1,100.0,0.0055,4,1494,4,success
1005,1.0,0.01,1,10.0,8.0,1,100.0,0.0055,3,1800,4,timeout
1000,1.0,0.01,1,10.0,18.0,2,50.0,0.0055,4,1420,4,success
1001,1.0,0.01,1,10.0,18.0,2,50.0,0.0055,4,1399,4,success
1002,1.0,0.01,1,10.0,18.0,2,50.0,0.0055,4,1440,4,success
1003,1.0,0.01,1,10.0,18.0,2,50.0,0.0055,2,781,4,crash
1004,1.0,0.01,1,10.0,18.0,2,50.0,0.0055,4,1458,4,success
1005,1.0,0.01,1,10.0,18.0,2,50.0,0.0055,1,499,4,crash
1000,1.0,0.01,1,10.0,28.0,3,33.33,0.0055,4,1565,4,success
1001,1.0,0.01,1,10.0,28.0,3,33.33,0.0055,4,1552,4,success
1002,1.0,0.01,1,10.0,28.0,3,33.33,0.0055,4,1564,4,success
1003,1.0,0.01,1,10.0,28.0,3,33.33,0.0055,4,1594,4,success
1004,1.0,0.01,1,10.0,28.0,3,33.33,0.0055,3,1476,4,crash
1005,1.0,0.01,1,10.0,28.0,3,33.33,0.0055,1,590,4,crash
1000,1.0,0.01,1,10.0,38.0,4,25.0,0.0055,1,1535,4,crash
1001,1.0,0.01,1,10.0,38.0,4,25.0,0.0055,1,601,4,crash
1002,1.0,0.01,1,10.0,38.0,4,25.0,0.0055,1,1382,4,crash
1003,1.0,0.01,1,10.0,38.0,4,25.0,0.0055,1,1263,4,crash
1004,1.0,0.01,1,10.0,38.0,4,25.0,0.0055,0,1337,4,crash
1005,1.0,0.01,1,10.0,38.0,4,25.0,0.0055,1,759,4,crash
1000,1.2,0.01,1,10.0,8.0,1,100.0,0.0055,4,1208,4,success
1001,1.2,0.01,1,10.0,8.0,1,100.0,0.0055,4,1194,4,success
1002,1.2,0.01,1,10.0,8.0,1,100.0,0.0055,3,1074,4,crash
1003,1.2,0.01,1,10.0,8.0,1,100.0,0.0055,3,980,4,crash
1004,1.2,0.01,1,10.0,8.0,1,100.0,0.0055,2,906,4,crash
1005,1.2,0.01,1,10.0,8.0,1,100.0,0.0055,1,641,4,crash
1000,1.2,0.01,1,10.0,18.0,2,50.0,0.0055,4,1222,4,success
1001,1.2,0.01,1,10.0,18.0,2,50.0,0.0055,2,590,4,crash
1002,1.2,0.01,1,10.0,18.0,2,50.0,0.0055,4,1200,4,success
1003,1.2,0.01,1,10.0,18.0,2,50.0,0.0055,2,1182,4,crash
1004,1.2,0.01,1,10.0,18.0,2,50.0,0.0055,1,448,4,crash
1005,1.2,0.01,1,10.0,18.0,2,50.0,0.0055,3,1115,4,crash
1000,1.2,0.01,1,10.0,28.0,3,33.33,0.0055,2,1006,4,crash
1001,1.2,0.01,1,10.0,28.0,3,33.33,0.0055,1,397,4,crash
1002,1.2,0.01,1,10.0,28.0,3,33.33,0.0055,1,481,4,crash
1003,1.2,0.01,1,10.0,28.0,3,33.33,0.0055,2,803,4,crash
1004,1.2,0.01,1,10.0,28.0,3,33.33,0.0055,2,1800,4,timeout
1005,1.2,0.01,1,10.0,28.0,3,33.33,0.0055,1,1034,4,crash
1000,1.2,0.01,1,10.0,38.0,4,25.0,0.0055,4,1320,4,success
1001,1.2,0.01,1,10.0,38.0,4,25.0,0.0055,0,307,4,crash
1002,1.2,0.01,1,10.0,38.0,4,25.0,0.0055,2,837,4,crash
1003,1.2,0.01,1,10.0,38.0,4,25.0,0.0055,3,1154,4,crash
1004,1.2,0.01,1,10.0,38.0,4,25.0,0.0055,2,916,4,crash
1005,1.2,0.01,1,10.0,38.0,4,25.0,0.0055,2,813,4,crash
1000,1.4,0.01,1,10.0,8.0,1,100.0,0.0055,4,1038,4,success
1001,1.4,0.01,1,10.0,8.0,1,100.0,0.0055,4,1015,4,success
1002,1.4,0.01,1,10.0,8.0,1,100.0,0.0055,4,1027,4,success
1003,1.4,0.01,1,10.0,8.0,1,100.0,0.0055,1,416,4,crash
1004,1.4,0.01,1,10.0,8.0,1,100.0,0.0055,4,1058,4,success
1005,1.4,0.01,1,10.0,8.0,1,100.0,0.0055,2,632,4,crash
1000,1.4,0.01,1,10.0,18.0,2,50.0,0.0055,3,814,4,crash
1001,1.4,0.01,1,10.0,18.0,2,50.0,0.0055,4,1018,4,success
1002,1.4,0.01,1,10.0,18.0,2,50.0,0.0055,4,1035,4,success
1003,1.4,0.01,1,10.0,18.0,2,50.0,0.0055,2,538,4,crash
1004,1.4,0.01,1,10.0,18.0,2,50.0,0.0055,4,1058,4,success
1005,1.4,0.01,1,10.0,18.0,2,50.0,0.0055,1,1169,4,crash
1000,1.4,0.01,1,10.0,28.0,3,33.33,0.0055,2,677,4,crash
1001,1.4,0.01,1,10.0,28.0,3,33.33,0.0055,1,369,4,crash
1002,1.4,0.01,1,10.0,28.0,3,33.33,0.0055,2,672,4,crash
1003,1.4,0.01,1,10.0,28.0,3,33.33,0.0055,2,758,4,crash
1004,1.4,0.01,1,10.0,28.0,3,33.33,0.0055,2,743,4,crash
1005,1.4,0.01,1,10.0,28.0,3,33.33,0.0055,2,700,4,crash
1000,1.4,0.01,1,10.0,38.0,4,25.0,0.0055,1,455,4,crash
1001,1.4,0.01,1,10.0,38.0,4,25.0,0.0055,1,247,4,crash
1002,1.4,0.01,1,10.0,38.0,4,25.0,0.0055,2,719,4,crash
1003,1.4,0.01,1,10.0,38.0,4,25.0,0.0055,1,491,4,crash
1004,1.4,0.01,1,10.0,38.0,4,25.0,0.0055,1,693,4,crash
1005,1.4,0.01,1,10.0,38.0,4,25.0,0.0055,1,398,4,crash
1000,1.6,0.01,1,10.0,8.0,1,100.0,0.0055,2,549,4,crash
1001,1.6,0.01,1,10.0,8.0,1,100.0,0.0055,2,454,4,crash
1002,1.6,0.01,1,10.0,8.0,1,100.0,0.0055,3,857,4,crash
1003,1.6,0.01,1,10.0,8.0,1,100.0,0.0055,1,364,4,crash
1004,1.6,0.01,1,10.0,8.0,1,100.0,0.0055,0,158,4,crash
1005,1.6,0.01,1,10.0,8.0,1,100.0,0.0055,1,333,4,crash
1000,1.6,0.01,1,10.0,18.0,2,50.0,0.0055,2,549,4,crash
1001,1.6,0.01,1,10.0,18.0,2,50.0,0.0055,1,583,4,crash
1002,1.6,0.01,1,10.0,18.0,2,50.0,0.0055,4,904,4,success
1003,1.6,0.01,1,10.0,18.0,2,50.0,0.0055,3,839,4,crash
1004,1.6,0.01,1,10.0,18.0,2,50.0,0.0055,4,931,4,success
1005,1.6,0.01,1,10.0,18.0,2,50.0,0.0055,1,708,4,crash
1000,1.6,0.01,1,10.0,28.0,3,33.33,0.0055,1,307,4,crash
1001,1.6,0.01,1,10.0,28.0,3,33.33,0.0055,1,325,4,crash
1002,1.6,0.01,1,10.0,28.0,3,33.33,0.0055,3,871,4,crash
1003,1.6,0.01,1,10.0,28.0,3,33.33,0.0055,2,627,4,crash
1004,1.6,0.01,1,10.0,28.0,3,33.33,0.0055,1,251,4,crash
1005,1.6,0.01,1,10.0,28.0,3,33.33,0.0055,1,614,4,crash
1000,1.6,0.01,1,10.0,38.0,4,25.0,0.0055,1,374,4,crash
1001,1.6,0.01,1,10.0,38.0,4,25.0,0.0055,1,563,4,crash
1002,1.6,0.01,1,10.0,38.0,4,25.0,0.0055,1,582,4,crash
1003,1.6,0.01,1,10.0,38.0,4,25.0,0.0055,0,446,4,crash
1004,1.6,0.01,1,10.0,38.0,4,25.0,0.0055,3,997,4,crash
1005,1.6,0.01,1,10.0,38.0,4,25.0,0.0055,0,231,4,crash
1000,1.8,0.01,1,10.0,8.0,1,100.0,0.0055,2,493,4,crash
1001,1.8,0.01,1,10.0,8.0,1,100.0,0.0055,3,729,4,crash
1002,1.8,0.01,1,10.0,8.0,1,100.0,0.0055,3,739,4,crash
1003,1.8,0.01,1,10.0,8.0,1,100.0,0.0055,1,210,4,crash
1004,1.8,0.01,1,10.0,8.0,1,100.0,0.0055,0,137,4,crash
1005,1.8,0.01,1,10.0,8.0,1,100.0,0.0055,1,318,4,crash
1000,1.8,0.01,1,10.0,18.0,2,50.0,0.0055,4,809,4,success
1001,1.8,0.01,1,10.0,18.0,2,50.0,0.0055,3,697,4,crash
1002,1.8,0.01,1,10.0,18.0,2,50.0,0.0055,1,275,4,crash
1003,1.8,0.01,1,10.0,18.0,2,50.0,0.0055,1,302,4,crash
1004,1.8,0.01,1,10.0,18.0,2,50.0,0.0055,2,568,4,crash
1005,1.8,0.01,1,10.0,18.0,2,50.0,0.0055,2,520,4,crash
1000,1.8,0.01,1,10.0,28.0,3,33.33,0.0055,3,705,4,crash
1001,1.8,0.01,1,10.0,28.0,3,33.33,0.0055,0,278,4,crash
1002,1.8,0.01,1,10.0,28.0,3,33.33,0.0055,1,309,4,crash
1003,1.8,0.01,1,10.0,28.0,3,33.33,0.0055,2,564,4,crash
1004,1.8,0.01,1,10.0,28.0,3,33.33,0.0055,4,891,4,success
1005,1.8,0.01,1,10.0,28.0,3,33.33,0.0055,1,622,4,crash
1000,1.8,0.01,1,10.0,38.0,4,25.0,0.0055,1,224,4,crash
1001,1.8,0.01,1,10.0,38.0,4,25.0,0.0055,0,367,4,crash
1002,1.8,0.01,1,10.0,38.0,4,25.0,0.0055,1,218,4,crash
1003,1.8,0.01,1,10.0,38.0,4,25.0,0.0055,2,645,4,crash
1004,1.8,0.01,1,10.0,38.0,4,25.0,0.0055,2,606,4,crash
1005,1.8,0.01,1,10.0,38.0,4,25.0,0.0055,1,477,4,crash
