dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8n$dispatch_0_HTA_qnn_graph_ir_ops103,,,21.578000,ms,21578000.000000,0,,qnn-mean@2026-08-28,qnn_graph,ir_ops=103,21578
1,yolov8n$dispatch_1_HTA_qnn_graph_ir_ops146,,,3946.462000,ms,3946462000.000000,0,,qnn-mean@2026-08-28,qnn_graph,ir_ops=146,3946462
