n_ops,actual_n,seed,scheduler,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error
20,20,0,heft,True,True,1575553.7527558398,0,0.0,3,1575538.7527558398,0.0006047859787940979,
20,20,0,critical_path,True,True,2046635.316745103,0,0.0,0,2046635.316745103,0.000374288996681571,
20,20,0,edf,True,True,2046635.316745103,0,0.0,0,2046635.316745103,0.00036376994103193283,
20,20,0,fastest_device,True,True,1575553.7527558398,0,0.0,3,1575538.7527558398,0.00027157494332641363,
20,20,0,fifo,True,True,2046635.316745103,0,0.0,0,2046635.316745103,0.0002754819579422474,
20,20,0,peft,True,True,1575553.7527558398,0,0.0,3,1575538.7527558398,0.0004922130610793829,
20,20,0,simulated_annealing,True,True,1575553.7527558398,0,0.0,3,1575538.7527558398,0.025957036996260285,
20,20,0,cpsat,True,False,1575551.670031731,0,0.0,3,1575538.7527558398,2.642480583046563,
20,20,0,gnn_placement,True,True,2043180.7283552515,0,0.0,4,2043110.7283552515,2.395967619959265,
20,20,1,heft,True,True,1885368.9633662405,0,0.0,3,1885353.9633662405,0.0005422980757430196,
20,20,1,critical_path,True,True,2185614.8075894583,0,0.0,0,2185614.8075894583,0.00039788405410945415,
20,20,1,edf,True,True,2185614.8075894583,0,0.0,0,2185614.8075894583,0.0003804609877988696,
20,20,1,fastest_device,True,True,1885368.9633662405,0,0.0,3,1885353.9633662405,0.0002860819222405553,
20,20,1,fifo,True,True,2185614.8075894583,0,0.0,0,2185614.8075894583,0.0002765440149232745,
20,20,1,peft,True,True,1885368.9633662405,0,0.0,3,1885353.9633662405,0.0004998770309612155,
20,20,1,simulated_annealing,True,True,1885368.9633662405,0,0.0,3,1885353.9633662405,0.02629119995981455,
20,20,1,cpsat,True,False,1885367.8692054367,0,0.0,3,1885353.9633662405,30.047558222082444,
20,20,1,gnn_placement,True,True,2071234.8889942758,0,0.0,3,2071169.8889942758,0.00781180604826659,
20,20,2,heft,True,True,1603507.5026283625,0,0.0,3,1603492.5026283625,0.0004680870333686471,
20,20,2,critical_path,True,True,1838567.958088906,0,0.0,0,1838567.958088906,0.00037537107709795237,
20,20,2,edf,True,True,1838567.958088906,0,0.0,0,1838567.958088906,0.0003645209362730384,
20,20,2,fastest_device,True,True,1603507.5026283625,0,0.0,3,1603492.5026283625,0.00027432001661509275,
20,20,2,fifo,True,True,1838567.958088906,0,0.0,0,1838567.958088906,0.00027059309650212526,
20,20,2,peft,True,True,1603507.5026283625,0,0.0,3,1603492.5026283625,0.0004888569237664342,
20,20,2,simulated_annealing,True,True,1603507.5026283625,0,0.0,3,1603492.5026283625,0.026263298001140356,
20,20,2,cpsat,True,False,1603506.1273032692,0,0.0,3,1603492.5026283625,0.7620478769531474,
20,20,2,gnn_placement,True,True,1993066.3296161145,0,0.0,6,1992936.3296161145,0.018959414097480476,
50,50,0,heft,True,True,4187594.5963363713,0,0.0,11,4187539.5963363713,0.0012923689791932702,
50,50,0,critical_path,True,True,5033697.220101031,0,0.0,0,5033697.220101031,0.0010530760046094656,
50,50,0,edf,True,True,5033697.220101031,0,0.0,0,5033697.220101031,0.0010544490069150925,
50,50,0,fastest_device,True,True,4187594.5963363713,0,0.0,11,4187539.5963363713,0.0008736149175092578,
50,50,0,fifo,True,True,5033697.220101031,0,0.0,0,5033697.220101031,0.0008538990514352918,
50,50,0,peft,True,True,4187594.5963363713,0,0.0,11,4187539.5963363713,0.001340411021374166,
50,50,0,simulated_annealing,True,True,4187594.5963363713,0,0.0,11,4187539.5963363713,0.0761924289399758,
50,50,0,cpsat,True,False,4187593.412372332,0,0.0,11,4187539.5963363713,30.06535826495383,
50,50,0,gnn_placement,True,True,4187594.5963363713,0,0.0,11,4187539.5963363713,0.0037844929611310363,
50,50,1,heft,True,True,4235566.833641333,0,0.0,7,4235531.833641333,0.0010917700128629804,
50,50,1,critical_path,True,True,5442537.748222044,0,0.0,0,5442537.748222044,0.0010719120036810637,
50,50,1,edf,True,True,5442537.748222044,0,0.0,0,5442537.748222044,0.0010792850516736507,
50,50,1,fastest_device,True,True,4235566.833641333,0,0.0,7,4235531.833641333,0.0008630360243842006,
50,50,1,fifo,True,True,5442537.748222044,0,0.0,0,5442537.748222044,0.0008628360228613019,
50,50,1,peft,True,True,4235566.833641333,0,0.0,7,4235531.833641333,0.0013203219277784228,
50,50,1,simulated_annealing,True,True,4235566.833641333,0,0.0,7,4235531.833641333,0.0771132749505341,
50,50,1,cpsat,True,False,4235568.386923364,0,0.0,7,4235531.833641333,30.05739079893101,
50,50,1,gnn_placement,True,True,4235566.833641333,0,0.0,7,4235531.833641333,0.010182418976910412,
50,50,2,heft,True,True,3861804.804161728,0,0.0,11,3861749.804161728,0.0011388889979571104,
50,50,2,critical_path,True,True,4538365.927599341,0,0.0,0,4538365.927599341,0.0011513119097799063,
50,50,2,edf,True,True,4538365.927599341,0,0.0,0,4538365.927599341,0.0011832129675894976,
50,50,2,fastest_device,True,True,3861804.804161728,0,0.0,11,3861749.804161728,0.000984505983069539,
50,50,2,fifo,True,True,4538365.927599341,0,0.0,0,4538365.927599341,0.0009379780385643244,
50,50,2,peft,True,True,3861804.804161728,0,0.0,11,3861749.804161728,0.0013926600804552436,
50,50,2,simulated_annealing,True,True,3861804.804161728,0,0.0,11,3861749.804161728,0.08151877496857196,
50,50,2,cpsat,True,False,3861799.9213623186,0,0.0,11,3861749.804161728,30.02568306901958,
50,50,2,gnn_placement,True,True,3861804.804161728,0,0.0,11,3861749.804161728,0.0652792250039056,
100,100,0,heft,True,True,8301789.180572263,0,0.0,21,8301684.180572263,0.0048613830003887415,
100,100,0,critical_path,True,True,10260136.343743164,0,0.0,0,10260136.343743164,0.003117018030025065,
100,100,0,edf,True,True,10260136.343743164,0,0.0,0,10260136.343743164,0.002992521971464157,
100,100,0,fastest_device,True,True,8301789.180572263,0,0.0,21,8301684.180572263,0.0026311869733035564,
100,100,0,fifo,True,True,10260136.343743164,0,0.0,0,10260136.343743164,0.002648038906045258,
100,100,0,peft,True,True,8301789.180572263,0,0.0,21,8301684.180572263,0.0036181469913572073,
100,100,0,simulated_annealing,True,True,8301789.180572263,0,0.0,21,8301684.180572263,0.2417531789978966,
100,100,0,cpsat,True,False,8301787.833709226,0,0.0,21,8301684.180572263,30.045389230945148,
100,100,0,gnn_placement,True,True,8301789.180572263,0,0.0,21,8301684.180572263,0.007550020003691316,
100,100,1,heft,True,True,8301481.790318408,0,0.0,17,8301396.790318408,0.002941926009953022,
