seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
39,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_09,CPU,1,1155.984200,9.186870,0,1153.756658,1155.984658,1155.989242,1165.012543
40,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_10,CPU,1,1165.171070,113.218300,0,1165.023637,1165.171448,1165.175875,1269.359644
41,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_10,CPU,1,1278.389370,36.167320,0,1269.375217,1278.389508,1278.394247,1313.832094
42,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_11_tramp_p0,CPU,1,1314.556690,3.161510,0,1313.844386,1314.557035,1314.561202,1318.768819
43,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv1,HTA,1,1317.718200,3.161230,1,1319.050171,1319.050275,1319.054702,1322.738522
44,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_11_tramp_p1,CPU,1,1320.879430,18.965710,0,1322.754824,1322.754876,1322.757324,1336.283343
45,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv2,HTA,1,1339.845140,9.254600,1,1336.316416,1339.845289,1339.849352,1349.017704
46,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_11_tramp_p2,CPU,1,1349.099740,48.438640,0,1349.275045,1349.275254,1349.280410,1399.953323
47,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_11,CPU,1,1397.538380,9.161890,0,1399.968115,1399.968219,1399.972021,1409.033343
48,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_12,CPU,1,1406.700270,112.283760,0,1409.042457,1409.042561,1409.047301,1509.341054
49,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_12,CPU,1,1518.984030,36.085750,0,1509.356470,1518.984558,1518.989870,1553.819702
50,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_13_tramp_p0,CPU,1,1555.069780,3.147400,0,1553.831681,1555.070315,1555.073597,1559.125642
51,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_13_conv1,HTA,1,1558.217180,3.145230,1,1559.415223,1559.415431,1559.420900,1563.402634
52,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_13_tramp_p1,CPU,1,1561.362410,18.770930,0,1563.630184,1563.630340,1563.633517,1577.278390
53,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_13_conv2,HTA,1,1580.133340,9.312020,1,1577.311202,1580.133884,1580.138207,1592.123929
54,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_13_tramp_p2,CPU,1,1589.445360,48.344170,0,1592.374447,1592.374707,1592.380853,1646.809825
55,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_13,CPU,1,1637.789530,9.160780,0,1646.824669,1646.824773,1646.828419,1655.969428
