entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,0,0.000000,0.014000,0.048000,0.151000,0.103000
1,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,dsp,6,1,0.000000,13.267000,0.015000,13.555000,13.540000
2,fused_split,0,0,qnn_graph,fused_vision_conv,hta,7,2,0.000000,0.931000,0.013000,0.788000,0.775000
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,3,0.014000,0.107000,0.226000,0.281000,0.055000
4,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,4,0.931000,13.909000,0.989000,14.590000,13.601000
5,fused_split,0,2,qnn_graph,fused_tail,cpu,5,0,5.646000,0.354000,5.672000,9.362000,3.690000
6,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,3,6.000000,0.107000,6.018000,6.111000,0.093000
7,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,1,13.267000,15.377000,13.750000,31.215000,17.465000
8,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,2,14.840000,0.931000,14.850000,16.046000,1.196000
9,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,3,14.893000,0.107000,14.908000,14.996000,0.088000
10,fused_split,1,1,qnn_graph,fused_depth_conv,cpu,5,0,15.000000,0.014000,15.254000,15.346000,0.092000
11,fused_split,1,2,qnn_graph,fused_tail,cpu,5,0,15.771000,0.354000,16.076000,16.924000,0.848000
12,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,3,18.000000,0.107000,18.009000,18.070000,0.061000
13,fused_split,2,1,qnn_graph,fused_depth_conv,hta,7,2,24.000000,1.568000,24.117000,25.022000,0.905000
14,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,4,3,24.000000,0.107000,24.054000,24.123000,0.069000
15,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,2,25.568000,0.931000,25.571000,26.208000,0.637000
16,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,5,28.644000,15.377000,31.390000,48.371000,16.981000
17,fused_split,2,2,qnn_graph,fused_tail,cpu,5,0,29.646000,0.354000,29.660000,30.609000,0.949000
18,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,3,30.000000,0.107000,30.014000,30.069000,0.055000
