entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,fused_split,0,0,qnn_graph,fused_vision_conv,hta,7,0,0.000000,0.931000,0.057000,1.369000,1.312000
1,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,1,0.000000,0.014000,0.058000,0.190000,0.132000
2,vint,0,0,qnn_graph,vint_encoders,dsp,6,2,0.000000,14.213000,0.064000,17.890000,17.826000
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,3,0.014000,0.107000,0.070000,0.147000,0.077000
4,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,4,0.931000,13.909000,1.835000,15.386000,13.551000
5,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,3,7.000000,0.107000,7.025000,7.141000,0.116000
6,fused_split,0,2,qnn_graph,fused_tail,cpu,5,1,10.646000,0.354000,10.668000,14.437000,3.769000
7,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,3,14.000000,0.107000,14.492000,14.585000,0.093000
8,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,0,14.840000,0.931000,15.826000,16.973000,1.147000
9,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,5,14.840000,15.377000,19.099000,39.334000,20.235000
10,fused_split,1,1,qnn_graph,fused_depth_conv,cpu,5,1,15.757000,0.014000,15.775000,15.833000,0.058000
11,fused_split,1,2,qnn_graph,fused_tail,cpu,5,1,15.771000,0.354000,17.274000,19.407000,2.133000
12,yolov8n_c,0,0,qnn_graph,yolov8n_backbone,hta,7,6,15.771000,13.909000,17.501000,32.233000,14.732000
13,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,3,21.000000,0.107000,21.016000,21.125000,0.109000
14,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,0,29.680000,0.931000,32.683000,33.588000,0.905000
15,mlp_control,4,0,qnn_graph,mlp_control_full,dsp,6,7,30.217000,0.589000,40.197000,44.822000,4.625000
16,fused_split,2,1,qnn_graph,fused_depth_conv,cpu,5,1,30.597000,0.014000,30.615000,30.830000,0.215000
17,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,hta,7,8,30.611000,13.909000,33.596000,49.185000,15.589000
18,fused_split,2,2,qnn_graph,fused_tail,cpu,5,1,30.611000,0.354000,33.774000,35.720000,1.946000
19,yolov8n_c,0,1,qnn_graph,yolov8n_head,dsp,6,9,30.806000,15.377000,44.858000,64.772000,19.914000
20,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,3,35.000000,0.107000,35.768000,35.837000,0.069000
21,vint,0,1,qnn_graph,vint_decoder,cpu,5,10,35.107000,37.826000,35.875000,57.268000,21.393000
22,fused_split,3,0,qnn_graph,fused_vision_conv,hta,7,0,44.520000,0.931000,49.713000,50.768000,1.055000
23,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,11,45.451000,13.909000,50.835000,67.253000,16.418000
24,mlp_control,6,0,qnn_graph,mlp_control_full,dsp,6,7,46.183000,0.589000,65.515000,66.180000,0.665000
25,fused_split,3,1,qnn_graph,fused_depth_conv,dsp,6,12,46.772000,0.392000,66.201000,67.379000,1.178000
26,fused_split,3,2,qnn_graph,fused_tail,dsp,6,12,47.164000,4.303000,67.400000,70.544000,3.144000
27,mlp_control,7,0,qnn_graph,mlp_control_full,dsp,6,7,51.467000,0.589000,70.889000,71.577000,0.688000
28,fused_split,4,0,qnn_graph,fused_vision_conv,dsp,6,12,56.000000,0.459000,71.609000,72.264000,0.655000
29,fused_split,4,1,qnn_graph,fused_depth_conv,dsp,6,12,56.459000,0.392000,72.276000,72.808000,0.532000
30,mlp_control,8,0,qnn_graph,mlp_control_full,dsp,6,7,58.108000,0.589000,72.845000,73.416000,0.571000
31,fused_split,4,2,qnn_graph,fused_tail,dsp,6,12,58.697000,4.303000,73.443000,76.778000,3.335000
32,mlp_control,9,0,qnn_graph,mlp_control_full,dsp,6,7,63.000000,0.589000,94.029000,96.317000,2.288000
33,yolov8n_d,0,1,qnn_graph,yolov8n_head,dsp,6,13,63.589000,15.377000,77.021000,93.887000,16.866000
34,fused_split,5,0,qnn_graph,fused_vision_conv,hta,7,0,70.000000,0.931000,70.004000,71.442000,1.438000
35,fused_split,5,1,qnn_graph,fused_depth_conv,hta,7,0,70.931000,1.568000,71.463000,72.497000,1.034000
36,mlp_control,10,0,qnn_graph,mlp_control_full,cpu,4,3,72.933000,0.107000,72.947000,73.028000,0.081000
37,mlp_control,11,0,qnn_graph,mlp_control_full,cpu,4,3,77.000000,0.107000,77.007000,77.052000,0.045000
38,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,14,78.966000,15.377000,96.641000,113.678000,17.037000
39,fused_split,5,2,qnn_graph,fused_tail,cpu,5,1,80.646000,0.354000,80.660000,81.464000,0.804000
