policy,contention_level,seed,task,instance,criticality,release_time,start_time,end_time,deadline
probe_defer40,3,0,mlp_control,3,hard,30.0,30.0,30.546073999999994,40.0
probe_defer40,3,0,mlp_control,30,hard,300.0,300.0,300.61066299999976,310.0
probe_defer40,3,0,mlp_control,31,hard,310.0,310.0,310.5460739999999,320.0
probe_defer40,3,0,mlp_control,32,hard,320.0,320.0,320.5460739999999,330.0
probe_defer40,3,0,mlp_control,33,hard,330.0,330.0,330.5460739999999,340.0
probe_defer40,3,0,mlp_control,34,hard,340.0,340.0,340.5460739999999,350.0
probe_defer40,3,0,mlp_control,35,hard,350.0,350.0,350.5460739999999,360.0
probe_defer40,3,0,mlp_control,36,hard,360.0,360.0,360.5460739999999,370.0
probe_defer40,3,0,mlp_control,37,hard,370.0,370.0,370.5460739999999,380.0
probe_defer40,3,0,mlp_control,38,hard,380.0,380.0,380.7551129999998,390.0
probe_defer40,3,0,mlp_control,39,hard,390.0,390.0,390.5460739999999,400.0
probe_defer40,3,0,mlp_control,4,hard,40.0,40.0,40.546074,50.0
probe_defer40,3,0,mlp_control,40,hard,400.0,400.0,400.61066299999976,410.0
probe_defer40,3,0,mlp_control,41,hard,410.0,410.0,410.5460739999999,420.0
probe_defer40,3,0,mlp_control,42,hard,420.0,420.0,420.5460739999999,430.0
probe_defer40,3,0,mlp_control,43,hard,430.0,430.0,430.5460739999999,440.0
probe_defer40,3,0,mlp_control,44,hard,440.0,440.0,440.5460739999999,450.0
probe_defer40,3,0,mlp_control,45,hard,450.0,450.0,450.5460739999999,460.0
probe_defer40,3,0,mlp_control,46,hard,460.0,460.0,460.5460739999999,470.0
probe_defer40,3,0,mlp_control,47,hard,470.0,470.0,470.5460739999999,480.0
probe_defer40,3,0,mlp_control,48,hard,480.0,480.0,480.7551129999998,490.0
probe_defer40,3,0,mlp_control,49,hard,490.0,490.0,490.5460739999999,500.0
probe_defer40,3,0,mlp_control,5,hard,50.0,50.0,50.546074,60.0
probe_defer40,3,0,mlp_control,50,hard,500.0,500.0,500.61066299999976,510.0
probe_defer40,3,0,mlp_control,6,hard,60.0,60.0,60.546074,70.0
