dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,ffn_block$dispatch_0_ime_x60_layernorm_s8_M128xK256,,,2.558167,ms,2558166.666667,0,,k1,layernorm_s8,M=128;K=256,61396,6,0.73,reference
1,ffn_block$dispatch_1_ime_x60_linear_s8_M128xK256xN1024,,,7.149208,ms,7149208.333333,0,,k1,linear_s8,M=128;K=256;N=1024,171581,6,0.27,curated[ime]/ime_vmadot_4x4x8
2,ffn_block$dispatch_2_ime_x60_gelu_s8_n131072,,,0.477708,ms,477708.333333,0,,k1,gelu_s8,n=131072,11465,6,0.42,curated[rvv]/rvv_memo_lut_gather
3,ffn_block$dispatch_3_ime_x60_linear_s8_M128xK1024xN256,,,6.025500,ms,6025500.000000,0,,k1,linear_s8,M=128;K=1024;N=256,144612,6,2.66,curated[ime]/ime_vmadot_4x4x8
4,ffn_block$dispatch_4_ime_x60_add_s8_n32768,,,0.169958,ms,169958.333333,0,,k1,add_s8,n=32768,4079,6,0.13,curated[rvv]/rvv_frm_rmm
