strategy,trajectory,epoch,offered_burst,candidate_id,output_valid_rate,valid_count,total_consumer_invocations,freshness_success_rate,deadline_success_rate,max_input_age,soft_completed,soft_offered,makespan_ms,switched,selector_reason
adaptive,ramp,9,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,held_at_max_protection
oracle_contention_aware,ramp,0,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,ramp,1,1,cand_c1_defer12,0.9,27,30,0.9,1.0,90.54607400000002,1,1,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,ramp,2,2,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,2,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,ramp,3,3,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,3,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,ramp,4,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,ramp,5,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,ramp,6,3,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,3,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,ramp,7,2,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,2,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,ramp,8,1,cand_c1_defer12,0.9,27,30,0.9,1.0,90.54607400000002,1,1,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,ramp,9,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
static_cand_c1_defer12,step,0,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,step,1,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,step,2,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,step,3,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,step,4,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,step,5,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,step,6,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,step,7,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,step,8,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,step,9,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,0,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,1,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,2,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,3,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,4,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,5,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,6,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,7,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,8,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,step,9,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,0,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,1,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,2,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,3,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,4,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,5,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,6,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,7,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,8,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,step,9,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
adaptive,step,0,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,bootstrap_no_observation
adaptive,step,1,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,held_no_trigger
adaptive,step,2,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,held_no_trigger
adaptive,step,3,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,True,escalated
adaptive,step,4,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,held_at_max_protection
adaptive,step,5,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,held_at_max_protection
adaptive,step,6,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,held_at_max_protection
adaptive,step,7,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,deescalated
adaptive,step,8,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,held_hysteresis
adaptive,step,9,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,held_hysteresis
oracle_contention_aware,step,0,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,step,1,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,step,2,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,step,3,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,step,4,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,step,5,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,step,6,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,step,7,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,step,8,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,step,9,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
static_cand_c1_defer12,oscillate,0,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,oscillate,1,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,oscillate,2,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,oscillate,3,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,oscillate,4,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,oscillate,5,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,oscillate,6,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,oscillate,7,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,oscillate,8,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c1_defer12,oscillate,9,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c2_defer12_admit2,oscillate,0,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,1,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,2,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,3,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,4,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,5,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,6,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,7,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,8,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit2,oscillate,9,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,0,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,1,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,2,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,3,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,4,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,5,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,6,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,7,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,8,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,
static_cand_c2_defer12_admit1,oscillate,9,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,
adaptive,oscillate,0,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,bootstrap_no_observation
adaptive,oscillate,1,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,held_no_trigger
