entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,dronet,0,0,conv2d_s8,conv_modules.0,gemmini,0,0,0.000000,3.598205,0.010000,1.385000,1.375000
1,yolov8_nano,0,0,conv2d_s8,l0.conv,rvv,1,1,0.000000,3.861126,0.015000,6.195000,6.180000
2,dronet,0,1,maxpool2d_s8,maxpool1,rvv,1,1,3.861126,8.432996,6.210000,6.415000,0.205000
3,yolov8_nano,0,1,batchnorm2d_s8,l0.bn,gemmini,0,0,3.861126,6.246157,6.205000,11.540000,5.335000
4,dronet,0,8,conv2d_s8,conv_modules.3,gemmini,0,0,12.294122,4.407589,11.555000,11.820000,0.265000
5,yolov8_nano,0,2,silu_s8,l0.act,rvv,1,1,12.294122,6.848126,11.545000,11.585000,0.040000
6,dronet,0,2,batchnorm2d_s8,bn_modules.0,gemmini,0,0,16.701712,7.723257,11.820000,13.155000,1.335000
7,yolov8_nano,0,3,conv2d_s8,l1.conv,rvv,1,1,19.142248,8.941912,11.585000,27.225000,15.640000
8,dronet,0,3,relu_s8,relu_modules.0,gemmini,0,0,24.424969,7.911872,13.155000,13.435000,0.280000
9,yolov8_nano,0,4,batchnorm2d_s8,l1.bn,rvv,1,1,28.084160,6.824857,27.225000,27.260000,0.035000
10,dronet,0,4,conv2d_s8,conv_modules.1,gemmini,0,0,32.336842,3.048462,13.435000,13.750000,0.315000
11,yolov8_nano,0,5,silu_s8,l1.act,rvv,1,1,34.909019,5.300572,27.260000,27.290000,0.030000
12,dronet,0,5,batchnorm2d_s8,bn_modules.1,gemmini,0,0,35.385303,2.990031,13.750000,14.115000,0.365000
13,dronet,0,6,relu_s8,relu_modules.1,rvv,1,1,40.209591,9.420501,27.305000,27.305000,0.000000
14,yolov8_nano,0,6,conv2d_s8,l2.cv1.conv,gemmini,0,0,40.209591,4.993473,27.300000,28.230000,0.930000
15,yolov8_nano,0,7,batchnorm2d_s8,l2.cv1.bn,gemmini,0,0,45.203064,5.407057,28.230000,30.920000,2.690000
16,dronet,0,7,conv2d_s8,conv_modules.2,rvv,1,1,49.630089,5.180625,27.305000,31.060000,3.755000
17,yolov8_nano,0,8,silu_s8,l2.cv1.act,gemmini,0,0,50.610119,7.215448,30.920000,35.830000,4.910000
18,dronet,0,9,add_s8,add,rvv,1,1,54.810715,5.908672,31.060000,31.330000,0.270000
19,yolov8_nano,0,-1,chunk2_c1,chunk,gemmini,0,0,57.825569,8.939925,0.000000,0.000000,0.000000
20,dronet,0,16,conv2d_s8,conv_modules.6,rvv,1,1,60.719387,7.071801,31.330000,31.685000,0.355000
21,yolov8_nano,0,9,conv2d_s8,l2.m0.cv1.conv,gemmini,0,0,66.765495,5.631175,35.830000,36.310000,0.480000
22,dronet,0,10,batchnorm2d_s8,bn_modules.2,rvv,1,1,67.791191,7.302914,31.690000,32.050000,0.360000
23,yolov8_nano,0,10,batchnorm2d_s8,l2.m0.cv1.bn,gemmini,0,0,72.396667,3.982717,36.310000,37.635000,1.325000
24,dronet,0,11,relu_s8,relu_modules.2,rvv,1,1,75.094101,9.644986,32.050000,32.050000,0.000000
25,yolov8_nano,0,11,silu_s8,l2.m0.cv1.act,gemmini,0,0,76.379387,3.893299,37.635000,40.090000,2.455000
26,yolov8_nano,0,12,conv2d_s8,l2.m0.cv2.conv,gemmini,0,0,80.272682,7.968114,40.090000,40.575000,0.485000
27,dronet,0,12,conv2d_s8,conv_modules.4,rvv,1,1,84.739090,4.291570,32.050000,33.925000,1.875000
28,yolov8_nano,0,13,batchnorm2d_s8,l2.m0.cv2.bn,gemmini,0,0,88.240799,8.532550,40.575000,41.910000,1.335000
29,dronet,0,13,batchnorm2d_s8,bn_modules.3,rvv,1,1,89.030663,9.398467,33.925000,34.110000,0.185000
30,yolov8_nano,0,14,silu_s8,l2.m0.cv2.act,gemmini,0,0,96.773346,2.842225,41.910000,44.365000,2.455000
31,dronet,0,14,relu_s8,relu_modules.3,rvv,1,1,98.429123,2.198876,34.110000,34.110000,0.000000
32,yolov8_nano,0,15,add_s8,add,gemmini,0,0,99.615570,2.532471,44.365000,45.460000,1.095000
33,dronet,0,15,conv2d_s8,conv_modules.5,rvv,1,1,100.628006,6.441584,34.110000,37.790000,3.680000
34,yolov8_nano,0,16,cat3_c1_s8,cat,gemmini,0,0,102.148041,6.755469,45.465000,49.815000,4.350000
35,dronet,0,17,add_s8,add_1,rvv,1,1,107.069588,2.847179,37.790000,37.925000,0.135000
36,yolov8_nano,0,17,conv2d_s8,l2.cv2.conv,gemmini,0,0,108.903511,3.169386,49.815000,50.955000,1.140000
37,dronet,0,18,batchnorm2d_s8,bn_modules.4,rvv,1,1,109.916763,3.122717,37.925000,38.105000,0.180000
38,dronet,0,24,conv2d_s8,conv_modules.9,gemmini,0,0,112.072899,5.739053,50.955000,51.060000,0.105000
39,dronet,0,19,relu_s8,relu_modules.4,rvv,1,1,113.039482,5.352914,38.110000,38.110000,0.000000
40,yolov8_nano,0,18,batchnorm2d_s8,l2.cv2.bn,gemmini,0,0,117.811951,8.597314,51.075000,53.685000,2.610000
41,dronet,0,20,conv2d_s8,conv_modules.7,rvv,1,1,118.392395,9.729856,38.110000,40.450000,2.340000
42,yolov8_nano,0,19,silu_s8,l2.cv2.act,gemmini,0,0,126.409264,4.482677,53.685000,58.585000,4.900000
43,dronet,0,21,batchnorm2d_s8,bn_modules.5,rvv,1,1,128.122253,6.768341,40.450000,40.575000,0.125000
44,yolov8_nano,0,20,conv2d_s8,l3.conv,gemmini,0,0,130.891937,3.150975,58.585000,59.375000,0.790000
45,yolov8_nano,0,21,batchnorm2d_s8,l3.bn,gemmini,0,0,134.042923,9.367764,59.375000,60.710000,1.335000
46,dronet,0,22,relu_s8,relu_modules.5,rvv,1,1,134.890594,9.464186,40.575000,40.575000,0.000000
47,yolov8_nano,0,22,silu_s8,l3.act,gemmini,0,0,143.410675,3.324254,60.710000,63.170000,2.460000
48,dronet,0,23,conv2d_s8,conv_modules.8,rvv,1,1,144.354782,8.434887,40.575000,45.260000,4.685000
49,yolov8_nano,0,23,conv2d_s8,l4.cv1.conv,gemmini,0,0,146.734940,4.277761,63.170000,63.660000,0.490000
50,yolov8_nano,0,24,batchnorm2d_s8,l4.cv1.bn,gemmini,0,0,151.012695,3.228907,63.665000,65.100000,1.435000
51,dronet,0,25,add_s8,add_2,rvv,1,1,152.789673,8.278108,51.065000,51.155000,0.090000
52,yolov8_nano,0,25,silu_s8,l4.cv1.act,gemmini,0,0,154.241608,2.923920,65.105000,67.555000,2.450000
53,yolov8_nano,0,-1,chunk2_c1,chunk_1,gemmini,0,0,157.165527,2.169184,0.000000,0.000000,0.000000
54,yolov8_nano,0,26,conv2d_s8,l4.m0.cv1.conv,gemmini,0,0,159.334702,2.443163,67.560000,67.850000,0.290000
55,dronet,0,26,relu_s8,relu_modules.6,rvv,1,1,161.067780,2.142694,51.155000,51.155000,0.000000
56,yolov8_nano,0,27,batchnorm2d_s8,l4.m0.cv1.bn,gemmini,0,0,161.777878,3.397132,67.850000,68.565000,0.715000
57,dronet,0,27,linear_s8,linear1,rvv,1,1,163.210464,2.873152,51.155000,51.160000,0.005000
