mix,scheduler,n_ops,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error
camera_only,heft,90,True,True,291062.16666666674,6,992176.1000000001,58,90258.86666666667,0.006703193997964263,
camera_only,critical_path,90,True,True,284802.73333333334,6,969505.3333333333,42,98588.9,0.0025733269285410643,
camera_only,edf,90,True,True,284662.93333333335,6,968806.3333333335,40,98588.9,0.002548319986090064,
camera_only,fastest_device,90,True,True,516564.86666666693,6,2280849.200000001,18,62884.73333333332,0.0023272510152310133,
camera_only,fifo,90,True,True,284802.73333333334,6,969505.3333333333,42,98588.9,0.0022518279729411006,
camera_only,peft,90,True,True,277581.6666666667,6,915109.7333333334,48,99379.16666666667,0.0030953260138630867,
camera_only,simulated_annealing,90,True,True,290258.9000000001,6,997691.9000000001,52,96138.96666666667,0.18358065804932266,
camera_only,cpsat,90,True,False,229628.66666666666,6,191567.99999999994,8,66884.43333333333,30.266162173007615,
camera_only,gnn_placement,90,True,True,291062.16666666674,6,992176.1000000001,58,90258.86666666667,2.429640270071104,
camera_imu,heft,210,True,True,344831.05555555574,46,10260906.988888891,102,90258.86666666667,0.01107117289211601,
camera_imu,critical_path,210,True,True,341948.8444444446,46,10111873.866666667,104,98588.9,0.010850403923541307,
camera_imu,edf,210,True,True,342969.23333333316,46,9746985.85555556,56,98588.9,0.01073418406303972,
camera_imu,fastest_device,210,True,True,516564.86666666693,46,9123504.755555581,18,62884.73333333332,0.01705317001324147,
camera_imu,fifo,210,True,True,363097.93333333323,46,6068508.566666668,120,94029.33333333334,0.00965979800093919,
camera_imu,peft,210,True,True,332350.5555555557,46,9680659.855555559,100,99379.16666666667,0.011928207939490676,
camera_imu,simulated_annealing,210,True,True,344831.05555555574,46,10260906.988888891,102,90258.86666666667,0.7042186650214717,
camera_imu,cpsat,210,True,False,230501.66666666666,6,293754.06666666665,19,78100.29999999999,60.06288339092862,
camera_imu,gnn_placement,210,True,True,344831.05555555574,46,10260906.988888891,102,90258.86666666667,0.01956987997982651,
camera_imu_control,heft,270,True,True,353739.23333333316,66,15204269.755555546,111,90258.86666666667,0.015599134028889239,
camera_imu_control,critical_path,270,True,True,350321.3000000003,66,14989245.066666678,114,98588.9,0.01562141696922481,
camera_imu_control,edf,270,True,True,351261.10000000027,66,14612705.455555547,61,98588.9,0.01583196606952697,
camera_imu_control,fastest_device,270,True,True,550465.0,66,12458625.55555558,18,62884.73333333332,0.013854578020982444,
camera_imu_control,fifo,270,True,True,393087.1444444446,66,10521977.966666672,135,96236.86666666667,0.014839275041595101,
camera_imu_control,peft,270,True,True,340743.93333333364,66,14364428.922222236,111,99379.16666666667,0.016999487997964025,
camera_imu_control,simulated_annealing,270,True,True,353739.23333333316,66,15204269.755555546,111,90258.86666666667,1.0822507420089096,
camera_imu_control,cpsat,270,True,False,253846.66666666666,6,352599.5333333333,14,71561.83333333333,60.11340916296467,
camera_imu_control,gnn_placement,270,True,True,353739.23333333316,66,15204269.755555546,111,90258.86666666667,0.026158387074247003,
full_stack,heft,302,True,True,386319.75998823286,68,17713933.28746338,125,90538.79999999999,0.019305799971334636,
full_stack,critical_path,302,True,True,389316.54923353944,68,17894148.693024576,113,97789.56666666667,0.01993728696834296,
full_stack,edf,302,True,True,389999.5771191361,68,17487648.20802,92,97836.16666666667,0.020397018059156835,
full_stack,fastest_device,302,True,True,569659.6795794752,68,13852596.252224311,19,62884.73333333332,0.018655187101103365,
full_stack,fifo,302,True,True,432970.5197646606,68,11617643.04869548,137,100815.2,0.017624584026634693,
full_stack,peft,302,True,True,373660.38301009545,68,16806926.9568603,142,87703.09999999999,0.021166897960938513,
full_stack,simulated_annealing,302,True,True,386319.75998823286,68,17713933.28746338,125,90538.79999999999,1.4416375609580427,
full_stack,cpsat,302,True,False,265135.6666666667,6,524493.0666666667,12,73769.36666666667,60.087558056926355,
full_stack,gnn_placement,302,True,True,386319.75998823286,68,17713933.28746338,125,90538.79999999999,0.038464431068859994,
