scenario,scheduler,n_ops,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error,gantt
multirate_periodic,gnn_placement,22,True,True,1570.0,3,1605.0,6,200.0,0.03585030697286129,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/multirate_periodic_gnn_placement.png
multirate_periodic,rl_policy,22,True,True,1570.0,3,1605.0,6,200.0,0.006107344990596175,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/multirate_periodic_rl_policy.png
memory_pressured_residual,heft,21,True,True,845.0,0,0.0,8,505.0,0.0005912709748372436,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_heft.png
memory_pressured_residual,critical_path,21,True,True,1095.0,1,195.0,7,1040.0,0.0005223100306466222,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_critical_path.png
memory_pressured_residual,edf,21,True,True,1095.0,1,195.0,7,1040.0,0.0005112489452585578,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_edf.png
memory_pressured_residual,fastest_device,21,True,True,805.0,0,0.0,12,465.0,0.0003687379648908973,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_fastest_device.png
memory_pressured_residual,fifo,21,True,True,1095.0,1,195.0,7,1040.0,0.00038844591472297907,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_fifo.png
memory_pressured_residual,peft,21,True,True,845.0,0,0.0,8,505.0,0.0006290019955486059,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_peft.png
memory_pressured_residual,simulated_annealing,21,True,True,820.0,0,0.0,13,500.0,0.029731338960118592,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_simulated_annealing.png
memory_pressured_residual,mosek,21,False,,,,,,,,solver_returned_none,
memory_pressured_residual,cpsat,21,True,True,855.0,0,0.0,8,540.0,13.974663856904954,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_cpsat.png
memory_pressured_residual,cpsat_memory,21,True,True,900.0,0,0.0,9,660.0,9.881097872043028,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_cpsat_memory.png
memory_pressured_residual,gnn_placement,21,True,True,845.0,0,0.0,8,505.0,0.008448422071523964,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_gnn_placement.png
memory_pressured_residual,rl_policy,21,True,True,845.0,0,0.0,8,505.0,0.005892197019420564,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/memory_pressured_residual_rl_policy.png
tiny_op_quantized_chain,heft,25,True,True,224.0,0,0.0,1,219.0,0.0006540700560435653,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_heft.png
tiny_op_quantized_chain,critical_path,25,True,True,350.0,0,0.0,0,350.0,0.0006012889789417386,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_critical_path.png
tiny_op_quantized_chain,edf,25,True,True,350.0,0,0.0,0,350.0,0.0005896569928154349,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_edf.png
tiny_op_quantized_chain,fastest_device,25,True,True,390.0,0,0.0,10,90.0,0.0004456440219655633,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_fastest_device.png
tiny_op_quantized_chain,fifo,25,True,True,350.0,0,0.0,0,350.0,0.000459591974504292,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_fifo.png
tiny_op_quantized_chain,peft,25,True,True,224.0,0,0.0,1,219.0,0.0007449720287695527,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_peft.png
tiny_op_quantized_chain,simulated_annealing,25,True,True,224.0,0,0.0,1,219.0,0.03474191599525511,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_simulated_annealing.png
tiny_op_quantized_chain,mosek,25,True,True,810.0,0,0.0,10,90.0,0.04666635498870164,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_mosek.png
tiny_op_quantized_chain,cpsat,25,True,True,220.0,0,0.0,0,220.0,0.2576319550862536,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_cpsat.png
tiny_op_quantized_chain,cpsat_memory,25,True,True,220.0,0,0.0,0,220.0,0.5510205989703536,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_cpsat_memory.png
tiny_op_quantized_chain,gnn_placement,25,True,True,220.0,0,0.0,0,220.0,0.0025907709496095777,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_gnn_placement.png
tiny_op_quantized_chain,rl_policy,25,True,True,224.0,0,0.0,1,219.0,0.006955513032153249,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/tiny_op_quantized_chain_rl_policy.png
heterogeneous_parallel,heft,18,True,True,400.0,0,0.0,5,340.0,0.00046383903827518225,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_heft.png
heterogeneous_parallel,critical_path,18,True,True,975.0,0,0.0,4,970.0,0.0004306869814172387,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_critical_path.png
heterogeneous_parallel,edf,18,True,True,975.0,0,0.0,4,970.0,0.0004774749977514148,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_edf.png
heterogeneous_parallel,fastest_device,18,True,True,380.0,0,0.0,4,320.0,0.00034399202559143305,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_fastest_device.png
heterogeneous_parallel,fifo,18,True,True,1510.0,0,0.0,5,1510.0,0.0003386919852346182,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_fifo.png
heterogeneous_parallel,peft,18,True,True,400.0,0,0.0,5,340.0,0.0005767128895968199,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_peft.png
heterogeneous_parallel,simulated_annealing,18,True,True,380.0,0,0.0,4,320.0,0.02687963400967419,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_simulated_annealing.png
heterogeneous_parallel,mosek,18,True,False,590.0,0,0.0,8,340.0,0.40117264504078776,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_mosek.png
heterogeneous_parallel,cpsat,18,True,True,380.0,0,0.0,4,320.0,0.09079094394110143,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_cpsat.png
heterogeneous_parallel,cpsat_memory,18,True,True,380.0,0,0.0,4,320.0,0.09634053299669176,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_cpsat_memory.png
heterogeneous_parallel,gnn_placement,18,True,True,400.0,0,0.0,5,340.0,0.004463799996301532,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_gnn_placement.png
heterogeneous_parallel,rl_policy,18,True,True,400.0,0,0.0,5,340.0,0.004804436000995338,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/heterogeneous_parallel_rl_policy.png
realworld_fusion_opportunity,heft,7,True,True,169.0,0,0.0,2,139.0,0.0003008999628946185,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_heft.png
realworld_fusion_opportunity,critical_path,7,True,True,169.0,0,0.0,2,139.0,0.00022104894742369652,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_critical_path.png
realworld_fusion_opportunity,edf,7,True,True,169.0,0,0.0,2,139.0,0.00023097789380699396,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_edf.png
realworld_fusion_opportunity,fastest_device,7,True,True,169.0,0,0.0,2,139.0,0.0001692409859970212,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_fastest_device.png
realworld_fusion_opportunity,fifo,7,True,True,169.0,0,0.0,2,139.0,0.0001656640088185668,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_fifo.png
realworld_fusion_opportunity,peft,7,True,True,169.0,0,0.0,2,139.0,0.0003037849674001336,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_peft.png
realworld_fusion_opportunity,simulated_annealing,7,True,True,147.0,0,0.0,3,147.0,0.012001455994322896,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_simulated_annealing.png
realworld_fusion_opportunity,mosek,7,False,,,,,,,,solver_returned_none,
realworld_fusion_opportunity,cpsat,7,True,True,144.0,0,0.0,2,144.0,0.020941269933246076,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_cpsat.png
realworld_fusion_opportunity,cpsat_memory,7,True,True,144.0,0,0.0,2,144.0,0.016399472020566463,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_cpsat_memory.png
realworld_fusion_opportunity,gnn_placement,7,True,True,183.0,1,3.0,0,147.0,0.0392683339305222,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_gnn_placement.png
realworld_fusion_opportunity,rl_policy,7,True,True,183.0,1,3.0,0,147.0,0.002465814002789557,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_fusion_opportunity_rl_policy.png
realworld_split_opportunity,heft,8,True,True,340.0,0,0.0,3,280.0,0.00024810992181301117,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_heft.png
realworld_split_opportunity,critical_path,8,True,True,1360.0,2,1810.0,1,1360.0,0.0002471579937264323,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_critical_path.png
realworld_split_opportunity,edf,8,True,True,1360.0,2,1810.0,1,1360.0,0.00027263688389211893,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_edf.png
realworld_split_opportunity,fastest_device,8,True,True,370.0,0,0.0,2,280.0,0.00017777690663933754,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_fastest_device.png
realworld_split_opportunity,fifo,8,True,True,1360.0,2,1810.0,1,1360.0,0.0002910109469667077,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_fifo.png
realworld_split_opportunity,peft,8,True,True,340.0,0,0.0,3,280.0,0.00028870697133243084,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_peft.png
realworld_split_opportunity,simulated_annealing,8,True,True,340.0,0,0.0,3,280.0,0.013645733008161187,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_simulated_annealing.png
realworld_split_opportunity,mosek,8,True,True,430.00000000000006,0,0.0,3,280.0,0.06897231203038245,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_mosek.png
realworld_split_opportunity,cpsat,8,True,True,340.0,0,0.0,2,280.0,0.016242544050328434,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_cpsat.png
realworld_split_opportunity,cpsat_memory,8,True,True,340.0,0,0.0,2,280.0,0.015610566013492644,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_cpsat_memory.png
realworld_split_opportunity,gnn_placement,8,True,True,340.0,0,0.0,3,280.0,0.002496892004273832,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_gnn_placement.png
realworld_split_opportunity,rl_policy,8,True,True,340.0,0,0.0,3,280.0,0.003428989090025425,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_split_opportunity_rl_policy.png
realworld_skip_pressure,heft,15,True,True,1229816.1810857863,0,0.0,2,1229806.1810857863,0.0004160980461165309,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_heft.png
realworld_skip_pressure,critical_path,15,True,True,1501168.401,0,0.0,0,1501168.401,0.0003492919495329261,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_critical_path.png
realworld_skip_pressure,edf,15,True,True,1501168.401,0,0.0,0,1501168.401,0.00035508302971720695,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_edf.png
realworld_skip_pressure,fastest_device,15,True,True,1229816.1810857863,0,0.0,2,1229806.1810857863,0.0002666349755600095,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_fastest_device.png
realworld_skip_pressure,fifo,15,True,True,1501168.401,0,0.0,0,1501168.401,0.0002822349779307842,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_fifo.png
realworld_skip_pressure,peft,15,True,True,1229816.1810857863,0,0.0,2,1229806.1810857863,0.00046152505092322826,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_peft.png
realworld_skip_pressure,simulated_annealing,15,True,True,1229816.1810857863,0,0.0,2,1229806.1810857863,0.02278819994535297,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_simulated_annealing.png
realworld_skip_pressure,mosek,15,True,True,1230226.1810857863,0,0.0,2,1229806.1810857863,0.03251352207735181,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_mosek.png
realworld_skip_pressure,cpsat,15,True,False,1229814.9257393698,0,0.0,2,1229806.1810857863,0.233472015010193,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_cpsat.png
realworld_skip_pressure,cpsat_memory,15,True,False,1229814.9257393698,0,0.0,2,1229806.1810857863,0.15864436503034085,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_cpsat_memory.png
realworld_skip_pressure,gnn_placement,15,True,True,1251228.8400000003,0,0.0,0,1251228.8400000003,0.01895421405788511,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_gnn_placement.png
realworld_skip_pressure,rl_policy,15,True,False,1251228.8400000003,0,0.0,0,1251228.8400000003,0.004233143059536815,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/realworld_skip_pressure_rl_policy.png
