dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,yolov8_nano$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC3xIH128xIW192xOC16xOH64xOW96xKH3xKW3xSH2xSW2xPH1xPW1,,,4.830708,ms,4830708.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=3;IH=128;IW=192;OC=16;OH=64;OW=96;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,115937,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
1,yolov8_nano$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH64xIW96xOC32xOH32xOW48xKH3xKW3xSH2xSW2xPH1xPW1,,,5.034458,ms,5034458.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=64;IW=96;OC=32;OH=32;OW=48;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,120827,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
2,yolov8_nano$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH32xIW48xOC32xOH32xOW48xKH1xKW1xSH1xSW1xPH0xPW0,,,2.761417,ms,2761416.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=32;IW=48;OC=32;OH=32;OW=48;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,66274,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
4,yolov8_nano$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH32xIW48xOC16xOH32xOW48xKH3xKW3xSH1xSW1xPH1xPW1,,,3.657833,ms,3657833.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=32;IW=48;OC=16;OH=32;OW=48;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,87788,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
5,yolov8_nano$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH32xIW48xOC16xOH32xOW48xKH3xKW3xSH1xSW1xPH1xPW1,,,3.674042,ms,3674041.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=32;IW=48;OC=16;OH=32;OW=48;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,88177,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
6,yolov8_nano$dispatch_6_rvv_x60_add_s8_n24576,,,0.163958,ms,163958.333333,0,,k1,add_s8,n=24576,3935,1,,curated[rvv]/rvv_frm_rmm
7,yolov8_nano$dispatch_7_rvv_x60_cat3_c1_s8_N1xH32xW48xC_inputs16|16|16xC_total48,,,0.176958,ms,176958.333333,0,,k1,cat3_c1_s8,N=1;H=32;W=48;C_inputs=16|16|16;C_total=48,4247,1,,curated[rvv]/direct
8,yolov8_nano$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC48xIH32xIW48xOC32xOH32xOW48xKH1xKW1xSH1xSW1xPH0xPW0,,,3.700583,ms,3700583.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=48;IH=32;IW=48;OC=32;OH=32;OW=48;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,88814,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
9,yolov8_nano$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH32xIW48xOC64xOH16xOW24xKH3xKW3xSH2xSW2xPH1xPW1,,,6.165083,ms,6165083.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=32;IW=48;OC=64;OH=16;OW=24;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,147962,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
10,yolov8_nano$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC64xIH16xIW24xOC64xOH16xOW24xKH1xKW1xSH1xSW1xPH0xPW0,,,2.530542,ms,2530541.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=16;IW=24;OC=64;OH=16;OW=24;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,60733,1,,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
