point,rep,entry,network,tile,lane,exec_ms,hin_ms,hout_ms,hin_bytes,hout_bytes,hin_hits,hin_tensors,hout_tensors,n_ir_ops
baseline_seed0,rep1,0,dronet_a,dronet_full,dsp,1.814,0.00099,0.001927,0,2,0,1,2,24
baseline_seed0,rep1,1,mlp_control,mlp_control_full,cpu,0.07400000000000001,0.000729,0.001145,0,16,0,1,1,7
baseline_seed0,rep1,2,yolov8n_c,yolov8n_backbone,hta,13.463,0.001094,0.086362,0,716800,0,1,3,103
baseline_seed0,rep1,3,dronet_b,dronet_full,dsp,0.9339999999999993,0.000834,0.002605,0,2,0,1,2,24
baseline_seed0,rep1,4,yolov8n_a,yolov8n_backbone,dsp,13.574,0.001718,0.150223,0,716800,0,1,3,103
baseline_seed0,rep1,5,mlp_control,mlp_control_full,cpu,0.10899999999999999,0.001094,0.000625,0,16,0,1,1,7
baseline_seed0,rep1,6,dronet_a,dronet_full,hta,1.5749999999999993,0.001042,0.001146,0,2,0,1,2,24
baseline_seed0,rep1,7,mlp_control,mlp_control_full,cpu,0.09199999999999875,0.000885,0.000885,0,16,0,1,1,7
baseline_seed0,rep1,8,yolov8n_b,yolov8n_backbone,hta,13.081,0.000573,0.366024,0,716800,0,1,3,103
baseline_seed0,rep1,9,dronet_b,dronet_full,dsp,1.2029999999999994,0.00099,0.001719,0,2,0,1,2,24
baseline_seed0,rep1,10,yolov8n_a,yolov8n_head,dsp,25.911,0.071934,0.173662,716800,705600,3,3,1,146
baseline_seed0,rep1,11,mlp_control,mlp_control_full,cpu,0.13299999999999912,0.002083,0.274766,0,16,0,1,1,7
baseline_seed0,rep1,12,mlp_control,mlp_control_full,cpu,0.0799999999999983,0.001146,0.000937,0,16,0,1,1,7
baseline_seed0,rep1,13,yolov8n_c,yolov8n_head,cpu,54.418000000000006,0.002604,0.108812,0,705600,0,3,1,146
baseline_seed0,rep1,14,dronet_a,dronet_full,hta,14.210999999999999,0.001041,0.00349,0,2,0,1,2,24
baseline_seed0,rep1,15,dronet_b,dronet_full,hta,1.6950000000000003,0.001615,0.001562,0,2,0,1,2,24
baseline_seed0,rep1,16,mlp_control,mlp_control_full,dsp,3.1529999999999987,0.001615,0.003698,0,4,0,1,1,7
baseline_seed0,rep1,17,yolov8n_d,yolov8n_backbone,hta,13.668999999999997,0.001667,0.352636,0,716800,0,1,3,103
baseline_seed0,rep1,18,yolov8n_b,yolov8n_head,dsp,18.773999999999994,0.004063,0.083758,0,705600,0,3,1,146
baseline_seed0,rep1,19,yolov8n_d,yolov8n_head,dsp,17.736000000000004,0.002292,0.387118,0,705600,0,3,1,146
baseline_seed0,rep2,0,dronet_a,dronet_full,dsp,3.0140000000000002,0.001094,0.00698,0,2,0,1,2,24
baseline_seed0,rep2,1,mlp_control,mlp_control_full,cpu,0.08900000000000001,0.000834,0.00151,0,16,0,1,1,7
baseline_seed0,rep2,2,yolov8n_c,yolov8n_backbone,hta,11.931,0.00099,0.092611,0,716800,0,1,3,103
baseline_seed0,rep2,3,dronet_b,dronet_full,dsp,0.8559999999999999,0.001302,0.002604,0,2,0,1,2,24
baseline_seed0,rep2,4,yolov8n_a,yolov8n_backbone,dsp,12.927000000000001,0.000833,0.163033,0,716800,0,1,3,103
baseline_seed0,rep2,5,mlp_control,mlp_control_full,cpu,0.1120000000000001,0.00099,0.000677,0,16,0,1,1,7
baseline_seed0,rep2,6,dronet_a,dronet_full,hta,1.032,0.000625,0.001511,0,2,0,1,2,24
