dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,ffn_block$dispatch_0_rvv_x60_layernorm_s8_M128xK256,,,2.588542,ms,2588541.666667,0,,k1,layernorm_s8,M=128;K=256,62125,6,1.48,reference
1,ffn_block$dispatch_1_rvv_x60_linear_s8_M128xK256xN1024,,,7.026833,ms,7026833.333333,0,,k1,linear_s8,M=128;K=256;N=1024,168644,6,7.86,curated[rvv]/direct
2,ffn_block$dispatch_2_rvv_x60_gelu_s8_n131072,,,0.494458,ms,494458.333333,0,,k1,gelu_s8,n=131072,11867,6,0.89,curated[rvv]/rvv_memo_lut_gather
3,ffn_block$dispatch_3_rvv_x60_linear_s8_M128xK1024xN256,,,5.366667,ms,5366666.666667,0,,k1,linear_s8,M=128;K=1024;N=256,128800,6,1.57,curated[rvv]/direct
4,ffn_block$dispatch_4_rvv_x60_add_s8_n32768,,,0.171083,ms,171083.333333,0,,k1,add_s8,n=32768,4106,6,9.1,curated[rvv]/rvv_frm_rmm
