rank,solver,status,detail,solver_s,wall_s,n_dispatches,periodic_instances,hard_deadline_misses,max_lateness_ms,frequency_shortfall_frac,p99_response_ms,heavy_model,heavy_max_latency_ms,heavy_throughput_hz,makespan_ms,utilization_pct,standalone_service_us,queue_share_pct,verdict_vs_best,schedule_json,gantt_png,dronet.instances,dronet.misses,dronet.miss_rate_pct,dronet.worst_lateness_ms,dronet.p99_ms,dronet.hz,dronet.required_hz,mlp.instances,mlp.misses,mlp.miss_rate_pct,mlp.worst_lateness_ms,mlp.p99_ms,mlp.hz,mlp.required_hz
1,greedy,ok,,13.776,16.1,370,44,10,79.86,0.1935,113.16,dronet,113.16,24.22,412.832,36.85,1144186,0.0,best,schedules/scheduled_networks_k1_mlp_dronet_greedy_profiled.json,results/scheduler_sweep_k1/gantt/gantt_greedy.png,10,10,100.0,79.86,113.16,24.22,30.03,34,0,0.0,0.0,0.34,102.93,100.0
2,greedy_periodic,ok,,13.338,15.6,370,44,10,79.86,0.1935,113.16,dronet,113.16,24.22,412.832,36.85,1144186,0.0,indistinguishable on every term,schedules/scheduled_networks_k1_mlp_dronet_greedy_periodic_profiled.json,results/scheduler_sweep_k1/gantt/gantt_greedy_periodic.png,10,10,100.0,79.86,113.16,24.22,30.03,34,0,0.0,0.0,0.34,102.93,100.0
3,edf,ok,,0.083,2.1,370,44,10,79.83,0.1935,113.13,dronet,113.13,24.22,412.832,34.65,1144269,0.0,utilization: greedy=36.85 beats edf=34.65 (tolerance 2),schedules/scheduled_networks_k1_mlp_dronet_edf_profiled.json,results/scheduler_sweep_k1/gantt/gantt_edf.png,10,10,100.0,79.83,113.13,24.22,30.03,34,0,0.0,0.0,0.34,102.93,100.0
4,heft,ok,,0.081,2.1,370,44,44,336.85,0.9959,347.68,dronet,347.68,24.23,412.733,34.7,1145303,86.2,hard deadline misses: greedy=10 beats heft=44 (tolerance 3.52),schedules/scheduled_networks_k1_mlp_dronet_heft_profiled.json,results/scheduler_sweep_k1/gantt/gantt_heft.png,10,10,100.0,314.38,347.68,24.23,30.03,34,34,100.0,336.85,346.85,97.79,23809.52
5,cpsat,ok,,120.831,123.6,370,44,43,359.78,0.2993,393.08,dronet,393.08,21.23,471.079,30.3,1148168,84.1,hard deadline misses: greedy=10 beats cpsat=43 (tolerance 3.52),schedules/scheduled_networks_k1_mlp_dronet_cpsat_profiled.json,results/scheduler_sweep_k1/gantt/gantt_cpsat.png,10,10,100.0,359.78,393.08,21.23,30.3,34,33,97.1,344.06,354.06,73.42,100.0
,mosek,error,Warning: Optimization failed (infeasible or error). Cannot expand schedule.,,1176.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
